Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found,Year,Month,Day,Investigation Time
8043,2022-07-19,ghost,44,castle,vandalism,pistol,dusk,potions,2022,July,Tuesday,medium
6139,2019-11-18,werewolf,85,forest,nightly disturbance,unknown,night,teeth,2019,November,Monday,long
108,2020-10-14,witch,87,swamp,arson,pistol,night,potions,2020,October,Wednesday,long
1330,2023-08-02,ghost,18,castle,vandalism,knife,night,cloak,2023,August,Wednesday,short
8271,2022-09-11,werewolf,21,mountain,assault,axe,dusk,blood,2022,September,Sunday,short
2783,2020-07-04,werewolf,56,village,assault,knife,night,bones,2020,July,Saturday,medium
9851,2023-06-02,vampire,14,mountain,nightly disturbance,unknown,night,cloak,2023,June,Friday,short
6295,2020-01-11,ghost,36,mountain,nightly disturbance,brute force,night,cloak,2020,January,Saturday,medium
2908,2022-02-07,zombie,55,swamp,kidnapping,knife,dawn,blood,2022,February,Monday,medium
5377,2021-04-16,skeleton,58,mountain,nightly disturbance,knife,night,bones,2021,April,Friday,medium
807,2022-05-08,vampire,23,castle,assault,axe,night,blood,2022,May,Sunday,short
3607,2024-01-22,werewolf,26,forest,kidnapping,pistol,night,fur,2024,January,Monday,short
2926,2021-08-13,werewolf,87,swamp,assault,pistol,dusk,blood,2021,August,Friday,long
2959,2021-07-31,vampire,68,mountain,assault,axe,dusk,blood,2021,July,Saturday,long
8262,2024-08-16,ghost,65,forest,theft,knife,dawn,cloak,2024,August,Friday,long
981,2023-09-13,zombie,92,swamp,kidnapping,knife,dusk,potions,2023,September,Wednesday,very long
6756,2023-02-10,witch,73,swamp,arson,unknown,day,cloak,2023,February,Friday,long
8662,2024-03-14,vampire,67,castle,assault,brute force,night,blood,2024,March,Thursday,long
2043,2021-12-08,vampire,84,mountain,theft,pistol,night,cloak,2021,December,Wednesday,long
9145,2024-02-21,ghost,75,village,vandalism,unknown,dusk,cloak,2024,February,Wednesday,long
961,2023-03-26,skeleton,69,forest,arson,unknown,day,bones,2023,March,Sunday,long
5414,2023-07-13,skeleton,54,mountain,nightly disturbance,unknown,night,cloak,2023,July,Thursday,medium
3896,2024-08-03,zombie,29,village,kidnapping,axe,dawn,blood,2024,August,Saturday,short
5921,2021-08-01,skeleton,60,mountain,assault,unknown,day,bones,2021,August,Sunday,medium
3179,2022-07-08,skeleton,3,mountain,nightly disturbance,knife,night,cloak,2022,July,Friday,short
3340,2021-12-23,zombie,95,forest,murder,pistol,dawn,potions,2021,December,Thursday,very long
3038,2022-08-19,werewolf,58,forest,assault,knife,night,bones,2022,August,Friday,medium
9092,2023-01-11,vampire,4,forest,assault,axe,night,blood,2023,January,Wednesday,short
7847,2021-04-20,skeleton,96,mountain,assault,axe,day,cloak,2021,April,Tuesday,very long
7511,2021-05-14,skeleton,91,forest,vandalism,knife,day,cloak,2021,May,Friday,very long
8019,2024-04-06,zombie,35,swamp,murder,axe,dusk,blood,2024,April,Saturday,medium
9330,2022-02-22,skeleton,39,castle,assault,unknown,day,bones,2022,February,Tuesday,medium
1068,2023-10-05,skeleton,57,mountain,arson,pistol,day,bones,2023,October,Thursday,medium
3188,2023-08-15,werewolf,61,mountain,assault,unknown,dusk,fur,2023,August,Tuesday,long
3826,2023-09-26,zombie,66,swamp,vandalism,knife,day,blood,2023,September,Tuesday,long
9281,2021-01-30,skeleton,64,castle,assault,brute force,night,bones,2021,January,Saturday,long
7902,2022-08-05,zombie,44,swamp,murder,axe,night,blood,2022,August,Friday,medium
7612,2022-07-22,vampire,6,castle,nightly disturbance,unknown,night,blood,2022,July,Friday,short
7302,2020-09-23,witch,69,village,arson,unknown,day,potions,2020,September,Wednesday,long
772,2020-10-24,ghost,5,village,vandalism,axe,night,cloak,2020,October,Saturday,short
5067,2022-01-27,vampire,50,castle,assault,knife,dusk,blood,2022,January,Thursday,medium
4950,2023-10-26,vampire,43,castle,theft,unknown,night,blood,2023,October,Thursday,medium
8173,2024-07-03,zombie,53,swamp,kidnapping,knife,dusk,bones,2024,July,Wednesday,medium
6913,2020-04-14,werewolf,80,mountain,nightly disturbance,pistol,night,blood,2020,April,Tuesday,long
2191,2023-03-16,werewolf,12,mountain,vandalism,unknown,night,fur,2023,March,Thursday,short
1883,2020-01-01,ghost,65,village,theft,brute force,dawn,potions,2020,January,Wednesday,long
7927,2020-11-04,ghost,65,village,nightly disturbance,brute force,night,potions,2020,November,Wednesday,long
9214,2023-10-11,zombie,72,swamp,vandalism,knife,dusk,potions,2023,October,Wednesday,long
2368,2023-12-20,skeleton,58,castle,nightly disturbance,unknown,night,bones,2023,December,Wednesday,medium
5585,2021-12-22,skeleton,19,mountain,assault,axe,day,cloak,2021,December,Wednesday,short
6812,2022-11-24,vampire,55,castle,nightly disturbance,unknown,night,cloak,2022,November,Thursday,medium
4044,2022-04-18,zombie,90,mountain,kidnapping,unknown,dawn,bones,2022,April,Monday,long
1135,2023-03-05,werewolf,71,forest,assault,pistol,night,blood,2023,March,Sunday,long
8798,2020-09-29,skeleton,65,mountain,nightly disturbance,brute force,night,bones,2020,September,Tuesday,long
4090,2023-10-19,skeleton,22,mountain,assault,knife,dusk,cloak,2023,October,Thursday,short
7715,2023-11-28,witch,42,village,arson,knife,dusk,cloak,2023,November,Tuesday,medium
773,2024-05-02,vampire,55,castle,nightly disturbance,brute force,night,blood,2024,May,Thursday,medium
2372,2023-07-16,werewolf,39,forest,nightly disturbance,unknown,night,teeth,2023,July,Sunday,medium
4112,2023-11-02,vampire,50,castle,nightly disturbance,axe,night,blood,2023,November,Thursday,medium
7287,2023-10-01,ghost,42,castle,nightly disturbance,knife,night,potions,2023,October,Sunday,medium
4258,2020-03-06,ghost,25,village,nightly disturbance,knife,night,potions,2020,March,Friday,short
8029,2021-10-10,witch,63,village,kidnapping,axe,dawn,bones,2021,October,Sunday,long
6030,2020-06-07,skeleton,1,mountain,vandalism,axe,day,bones,2020,June,Sunday,short
3385,2023-10-06,vampire,80,mountain,murder,unknown,night,teeth,2023,October,Friday,long
4742,2023-06-02,werewolf,66,village,assault,pistol,night,blood,2023,June,Friday,long
3434,2022-05-15,witch,76,village,arson,unknown,day,potions,2022,May,Sunday,long
4122,2022-10-28,skeleton,13,castle,vandalism,pistol,day,bones,2022,October,Friday,short
9241,2023-03-03,werewolf,66,mountain,assault,axe,night,teeth,2023,March,Friday,long
1238,2021-06-11,werewolf,85,village,assault,unknown,night,blood,2021,June,Friday,long
6356,2023-11-15,skeleton,68,castle,assault,brute force,day,bones,2023,November,Wednesday,long
3156,2023-11-14,witch,33,swamp,kidnapping,knife,night,fur,2023,November,Tuesday,medium
518,2022-03-15,ghost,47,village,nightly disturbance,brute force,night,cloak,2022,March,Tuesday,medium
5854,2021-04-11,zombie,12,swamp,assault,unknown,dawn,bones,2021,April,Sunday,short
8265,2024-02-26,ghost,97,castle,theft,knife,night,potions,2024,February,Monday,very long
9512,2023-03-21,ghost,34,castle,vandalism,brute force,dawn,potions,2023,March,Tuesday,medium
97,2021-11-26,skeleton,20,mountain,nightly disturbance,brute force,night,bones,2021,November,Friday,short
6749,2019-11-11,skeleton,71,mountain,arson,unknown,dusk,cloak,2019,November,Monday,long
1528,2020-01-11,werewolf,5,forest,assault,pistol,night,teeth,2020,January,Saturday,short
8881,2022-12-14,zombie,18,swamp,kidnapping,unknown,dusk,potions,2022,December,Wednesday,short
120,2023-09-01,skeleton,29,mountain,nightly disturbance,unknown,night,cloak,2023,September,Friday,short
7868,2024-08-11,witch,58,village,arson,pistol,dusk,cloak,2024,August,Sunday,medium
6583,2020-01-21,witch,95,swamp,arson,unknown,dusk,cloak,2020,January,Tuesday,very long
34,2022-05-06,skeleton,48,mountain,arson,axe,day,bones,2022,May,Friday,medium
7964,2022-09-30,witch,80,forest,kidnapping,knife,day,cloak,2022,September,Friday,long
6900,2024-09-30,werewolf,60,village,assault,unknown,dusk,fur,2024,September,Monday,medium
5478,2023-09-25,skeleton,61,mountain,arson,pistol,dusk,bones,2023,September,Monday,long
1080,2022-12-10,zombie,67,swamp,kidnapping,knife,night,blood,2022,December,Saturday,long
1362,2020-02-18,werewolf,79,forest,vandalism,knife,dawn,blood,2020,February,Tuesday,long
4794,2022-08-11,skeleton,65,mountain,nightly disturbance,knife,night,bones,2022,August,Thursday,long
6065,2022-09-11,ghost,46,castle,arson,unknown,night,potions,2022,September,Sunday,medium
6100,2024-07-05,vampire,55,castle,assault,unknown,night,cloak,2024,July,Friday,medium
3856,2022-12-31,skeleton,75,castle,arson,brute force,dusk,bones,2022,December,Saturday,long
8533,2022-12-21,vampire,82,village,nightly disturbance,axe,night,blood,2022,December,Wednesday,long
5323,2020-04-28,vampire,77,castle,theft,pistol,night,blood,2020,April,Tuesday,long
6967,2022-08-23,zombie,71,swamp,assault,axe,dusk,potions,2022,August,Tuesday,long
5363,2023-01-25,skeleton,27,forest,assault,brute force,day,bones,2023,January,Wednesday,short
32,2022-03-07,werewolf,94,forest,nightly disturbance,axe,night,blood,2022,March,Monday,very long
5734,2024-02-17,zombie,20,swamp,kidnapping,knife,dusk,bones,2024,February,Saturday,short
4431,2020-12-26,ghost,25,village,arson,pistol,night,cloak,2020,December,Saturday,short
30,2023-10-05,witch,31,village,kidnapping,axe,dawn,cloak,2023,October,Thursday,medium
4244,2020-12-07,zombie,26,mountain,murder,brute force,dusk,bones,2020,December,Monday,short
7580,2023-01-21,werewolf,43,forest,assault,pistol,night,teeth,2023,January,Saturday,medium
743,2022-06-29,skeleton,26,mountain,vandalism,unknown,day,cloak,2022,June,Wednesday,short
2090,2021-01-23,vampire,47,castle,nightly disturbance,brute force,night,blood,2021,January,Saturday,medium
107,2023-05-22,witch,19,village,arson,unknown,day,potions,2023,May,Monday,short
9741,2019-11-20,witch,29,forest,kidnapping,pistol,night,cloak,2019,November,Wednesday,short
8984,2020-11-01,vampire,22,castle,assault,unknown,night,blood,2020,November,Sunday,short
8097,2021-12-31,skeleton,90,mountain,nightly disturbance,knife,night,bones,2021,December,Friday,long
2259,2021-08-18,skeleton,26,mountain,arson,axe,day,cloak,2021,August,Wednesday,short
1003,2020-03-19,zombie,82,village,assault,brute force,night,blood,2020,March,Thursday,long
9507,2021-12-25,ghost,69,castle,nightly disturbance,axe,night,potions,2021,December,Saturday,long
7129,2020-08-17,skeleton,82,mountain,arson,knife,dusk,cloak,2020,August,Monday,long
6858,2020-07-18,ghost,15,castle,nightly disturbance,unknown,night,cloak,2020,July,Saturday,short
365,2020-05-08,zombie,29,swamp,assault,knife,dawn,fur,2020,May,Friday,short
309,2024-10-10,werewolf,48,forest,assault,unknown,night,bones,2024,October,Thursday,medium
2656,2022-11-20,ghost,30,castle,vandalism,pistol,night,cloak,2022,November,Sunday,short
9055,2022-11-02,ghost,45,castle,arson,axe,night,cloak,2022,November,Wednesday,medium
4559,2021-07-09,skeleton,63,castle,arson,brute force,day,cloak,2021,July,Friday,long
5970,2021-10-04,werewolf,19,forest,vandalism,axe,night,blood,2021,October,Monday,short
8398,2022-12-22,werewolf,18,forest,nightly disturbance,knife,night,fur,2022,December,Thursday,short
3134,2023-11-27,skeleton,65,mountain,nightly disturbance,brute force,night,bones,2023,November,Monday,long
5763,2022-09-30,vampire,12,castle,nightly disturbance,unknown,night,blood,2022,September,Friday,short
3937,2020-11-13,werewolf,79,mountain,nightly disturbance,pistol,night,potions,2020,November,Friday,long
5497,2022-10-30,ghost,57,castle,nightly disturbance,pistol,night,cloak,2022,October,Sunday,medium
8007,2023-09-03,vampire,22,mountain,nightly disturbance,pistol,night,blood,2023,September,Sunday,short
629,2021-09-07,zombie,52,mountain,kidnapping,unknown,dusk,blood,2021,September,Tuesday,medium
7306,2024-05-03,vampire,8,castle,assault,brute force,night,blood,2024,May,Friday,short
2526,2023-05-16,werewolf,88,forest,assault,pistol,dusk,fur,2023,May,Tuesday,long
721,2020-10-11,zombie,17,mountain,kidnapping,pistol,dawn,teeth,2020,October,Sunday,short
8489,2021-04-05,witch,54,village,arson,pistol,day,potions,2021,April,Monday,medium
2887,2021-04-24,witch,69,mountain,kidnapping,unknown,dusk,cloak,2021,April,Saturday,long
4312,2020-08-07,skeleton,43,swamp,arson,pistol,day,bones,2020,August,Friday,medium
2940,2020-07-06,ghost,55,castle,vandalism,pistol,dawn,potions,2020,July,Monday,medium
8160,2022-02-27,skeleton,5,swamp,arson,unknown,day,cloak,2022,February,Sunday,short
4562,2024-09-28,vampire,88,mountain,assault,axe,night,cloak,2024,September,Saturday,long
1276,2022-06-15,skeleton,23,castle,arson,knife,day,bones,2022,June,Wednesday,short
3194,2024-02-29,ghost,4,village,arson,axe,night,potions,2024,February,Thursday,short
980,2023-02-23,skeleton,3,mountain,nightly disturbance,axe,night,bones,2023,February,Thursday,short
3952,2020-09-09,vampire,53,castle,theft,knife,dawn,cloak,2020,September,Wednesday,medium
5250,2020-06-13,werewolf,65,mountain,assault,knife,night,fur,2020,June,Saturday,long
8936,2021-06-20,ghost,88,castle,theft,knife,dusk,potions,2021,June,Sunday,long
264,2022-11-07,witch,73,village,arson,unknown,dawn,cloak,2022,November,Monday,long
3829,2023-08-30,zombie,24,swamp,kidnapping,knife,dusk,bones,2023,August,Wednesday,short
9294,2024-10-10,vampire,35,forest,assault,axe,night,blood,2024,October,Thursday,medium
495,2024-10-25,ghost,1,castle,vandalism,pistol,night,cloak,2024,October,Friday,short
7984,2024-04-12,ghost,15,village,vandalism,unknown,night,potions,2024,April,Friday,short
526,2023-05-26,werewolf,14,mountain,assault,unknown,night,teeth,2023,May,Friday,short
8427,2021-10-15,ghost,80,castle,vandalism,axe,night,potions,2021,October,Friday,long
316,2024-05-09,skeleton,28,mountain,nightly disturbance,knife,night,bones,2024,May,Thursday,short
3266,2020-10-22,skeleton,98,mountain,vandalism,pistol,dusk,bones,2020,October,Thursday,very long
8009,2021-09-22,vampire,85,castle,murder,knife,night,blood,2021,September,Wednesday,long
7530,2021-10-10,ghost,88,village,nightly disturbance,brute force,night,cloak,2021,October,Sunday,long
9881,2024-05-31,skeleton,60,castle,assault,knife,day,cloak,2024,May,Friday,medium
5235,2020-07-23,witch,16,village,kidnapping,knife,day,teeth,2020,July,Thursday,short
8156,2021-11-07,zombie,4,swamp,vandalism,brute force,night,potions,2021,November,Sunday,short
6567,2023-03-18,witch,23,swamp,kidnapping,unknown,day,potions,2023,March,Saturday,short
6859,2023-08-04,ghost,16,village,nightly disturbance,unknown,night,cloak,2023,August,Friday,short
7849,2022-03-12,ghost,62,forest,vandalism,knife,dusk,potions,2022,March,Saturday,long
2767,2022-11-29,zombie,47,swamp,kidnapping,brute force,day,blood,2022,November,Tuesday,medium
7918,2024-01-14,skeleton,6,castle,assault,knife,dawn,bones,2024,January,Sunday,short
6325,2023-03-11,werewolf,73,swamp,assault,pistol,dusk,blood,2023,March,Saturday,long
8289,2024-05-17,witch,78,swamp,kidnapping,knife,dawn,potions,2024,May,Friday,long
1261,2021-04-26,ghost,85,castle,vandalism,pistol,night,cloak,2021,April,Monday,long
9427,2022-02-03,werewolf,38,forest,assault,pistol,night,blood,2022,February,Thursday,medium
4236,2023-06-02,vampire,53,village,nightly disturbance,brute force,night,teeth,2023,June,Friday,medium
8077,2024-03-06,vampire,62,castle,nightly disturbance,knife,night,blood,2024,March,Wednesday,long
7450,2021-04-21,witch,66,swamp,arson,axe,dusk,blood,2021,April,Wednesday,long
3470,2020-08-02,zombie,46,mountain,kidnapping,unknown,dusk,potions,2020,August,Sunday,medium
5437,2020-12-11,zombie,6,swamp,kidnapping,unknown,night,fur,2020,December,Friday,short
967,2020-09-29,zombie,6,village,kidnapping,brute force,night,teeth,2020,September,Tuesday,short
423,2021-02-22,werewolf,16,village,assault,knife,night,teeth,2021,February,Monday,short
5801,2021-03-05,zombie,47,village,assault,knife,dusk,teeth,2021,March,Friday,medium
6796,2024-09-08,werewolf,70,forest,assault,knife,day,bones,2024,September,Sunday,long
4426,2022-03-24,skeleton,61,mountain,nightly disturbance,pistol,night,bones,2022,March,Thursday,long
5248,2020-08-15,vampire,6,mountain,nightly disturbance,unknown,night,cloak,2020,August,Saturday,short
1124,2023-09-12,vampire,33,castle,nightly disturbance,knife,night,blood,2023,September,Tuesday,medium
2718,2022-04-26,witch,56,mountain,arson,knife,dusk,cloak,2022,April,Tuesday,medium
6538,2021-12-19,werewolf,27,village,vandalism,pistol,night,fur,2021,December,Sunday,short
8909,2023-04-03,witch,26,village,arson,unknown,dusk,bones,2023,April,Monday,short
7884,2019-12-08,zombie,63,mountain,assault,unknown,night,potions,2019,December,Sunday,long
3445,2021-07-22,werewolf,26,mountain,assault,pistol,night,fur,2021,July,Thursday,short
81,2023-07-15,werewolf,6,mountain,vandalism,brute force,night,fur,2023,July,Saturday,short
4659,2021-08-04,werewolf,37,forest,kidnapping,axe,night,fur,2021,August,Wednesday,medium
1388,2023-10-22,vampire,84,castle,nightly disturbance,axe,night,cloak,2023,October,Sunday,long
1525,2022-07-25,vampire,83,castle,nightly disturbance,unknown,night,teeth,2022,July,Monday,long
6508,2021-06-25,werewolf,44,forest,assault,knife,dawn,fur,2021,June,Friday,medium
3102,2022-10-07,vampire,68,village,murder,pistol,night,blood,2022,October,Friday,long
3047,2022-09-27,skeleton,19,mountain,vandalism,unknown,night,cloak,2022,September,Tuesday,short
4869,2022-02-28,vampire,67,village,assault,knife,night,blood,2022,February,Monday,long
7898,2021-02-17,ghost,36,village,nightly disturbance,knife,night,cloak,2021,February,Wednesday,medium
93,2023-05-23,werewolf,56,forest,kidnapping,unknown,night,fur,2023,May,Tuesday,medium
9515,2022-08-15,vampire,34,castle,assault,unknown,night,cloak,2022,August,Monday,medium
6665,2020-06-18,ghost,79,castle,nightly disturbance,pistol,night,cloak,2020,June,Thursday,long
4487,2024-04-13,vampire,72,village,murder,brute force,night,teeth,2024,April,Saturday,long
7675,2020-10-07,zombie,10,swamp,assault,knife,dawn,potions,2020,October,Wednesday,short
3873,2022-11-15,werewolf,24,mountain,assault,brute force,dusk,blood,2022,November,Tuesday,short
9798,2023-07-28,ghost,53,castle,theft,unknown,night,cloak,2023,July,Friday,medium
4365,2022-11-04,werewolf,33,mountain,nightly disturbance,unknown,night,potions,2022,November,Friday,medium
3428,2022-07-27,ghost,16,village,nightly disturbance,axe,night,potions,2022,July,Wednesday,short
4798,2024-03-20,ghost,50,village,nightly disturbance,brute force,night,cloak,2024,March,Wednesday,medium
7299,2023-08-31,vampire,16,castle,murder,pistol,night,teeth,2023,August,Thursday,short
9282,2020-08-19,zombie,96,swamp,kidnapping,axe,dawn,teeth,2020,August,Wednesday,very long
2388,2020-10-03,witch,82,village,arson,knife,dusk,cloak,2020,October,Saturday,long
1160,2020-05-27,zombie,59,swamp,kidnapping,brute force,dusk,teeth,2020,May,Wednesday,medium
5724,2021-02-02,skeleton,60,mountain,nightly disturbance,brute force,night,bones,2021,February,Tuesday,medium
8154,2023-05-30,werewolf,74,forest,vandalism,knife,night,teeth,2023,May,Tuesday,long
4989,2022-05-14,ghost,62,village,vandalism,knife,night,potions,2022,May,Saturday,long
3699,2024-07-14,ghost,45,village,vandalism,pistol,night,potions,2024,July,Sunday,medium
1578,2021-02-16,werewolf,81,village,assault,unknown,night,teeth,2021,February,Tuesday,long
4153,2021-09-08,vampire,62,village,nightly disturbance,unknown,night,cloak,2021,September,Wednesday,long
9140,2022-10-06,werewolf,42,village,assault,pistol,night,teeth,2022,October,Thursday,medium
9367,2022-12-09,zombie,60,swamp,kidnapping,brute force,night,potions,2022,December,Friday,medium
8624,2020-08-23,skeleton,61,castle,vandalism,brute force,dawn,bones,2020,August,Sunday,long
802,2022-04-30,ghost,83,mountain,nightly disturbance,brute force,night,cloak,2022,April,Saturday,long
5913,2023-11-03,vampire,94,castle,assault,knife,night,blood,2023,November,Friday,very long
7693,2021-06-17,witch,75,mountain,arson,unknown,night,bones,2021,June,Thursday,long
1609,2021-02-26,zombie,81,village,kidnapping,pistol,dawn,blood,2021,February,Friday,long
7490,2020-06-04,werewolf,94,forest,assault,knife,night,teeth,2020,June,Thursday,very long
5320,2020-10-07,ghost,23,village,nightly disturbance,knife,night,potions,2020,October,Wednesday,short
7217,2021-06-01,witch,12,village,arson,knife,dawn,blood,2021,June,Tuesday,short
89,2020-05-23,ghost,1,village,vandalism,pistol,dusk,cloak,2020,May,Saturday,short
8783,2019-12-20,witch,91,village,arson,brute force,night,cloak,2019,December,Friday,very long
9829,2024-02-20,ghost,21,castle,vandalism,knife,night,cloak,2024,February,Tuesday,short
9540,2022-10-12,zombie,89,village,kidnapping,brute force,night,teeth,2022,October,Wednesday,long
6822,2023-06-13,werewolf,37,forest,nightly disturbance,axe,night,fur,2023,June,Tuesday,medium
3537,2023-02-27,werewolf,6,forest,assault,knife,night,fur,2023,February,Monday,short
2260,2023-03-22,zombie,76,village,kidnapping,brute force,dawn,bones,2023,March,Wednesday,long
2833,2020-07-20,witch,19,swamp,arson,knife,dusk,bones,2020,July,Monday,short
4468,2023-10-25,witch,65,village,kidnapping,pistol,dawn,bones,2023,October,Wednesday,long
5721,2024-08-19,zombie,21,swamp,kidnapping,axe,day,bones,2024,August,Monday,short
7240,2022-02-13,werewolf,5,mountain,kidnapping,brute force,night,fur,2022,February,Sunday,short
8421,2023-02-27,ghost,35,castle,vandalism,unknown,night,potions,2023,February,Monday,medium
2172,2023-05-18,zombie,82,swamp,vandalism,pistol,night,bones,2023,May,Thursday,long
8045,2022-04-13,ghost,53,castle,theft,unknown,night,potions,2022,April,Wednesday,medium
6616,2023-10-18,ghost,80,village,vandalism,brute force,night,potions,2023,October,Wednesday,long
7717,2023-07-16,witch,61,village,kidnapping,unknown,dawn,teeth,2023,July,Sunday,long
6225,2024-09-21,ghost,45,village,arson,brute force,dawn,cloak,2024,September,Saturday,medium
1510,2022-01-21,ghost,81,castle,theft,unknown,night,cloak,2022,January,Friday,long
7771,2022-11-26,ghost,98,castle,vandalism,brute force,night,potions,2022,November,Saturday,very long
