Index_Monster,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food
3239,Zombie,No,70.0,M,181.0,11.0,5.0,sunlight,lasagna
5701,Skeleton,No,281.0,M,166.0,1.0,9.0,cat hair,pesto pasta
2475,Zombie,Yes,146.0,M,193.0,13.0,2.0,sunlight,lasagna
3193,Vampire,Yes,841.0,M,186.0,51.0,8.0,garlic,pesto pasta
5496,Ghost,No,567.0,F,169.0,64.0,6.0,pumpkin,rats
9237,Zombie,No,110.0,M,169.0,16.0,1.0,silver,pesto pasta
3807,Ghost,Yes,2038.0,M,183.0,46.0,8.0,sunlight,humans
1748,Ghost,Yes,1601.0,M,175.0,55.0,3.0,hazelnut,pesto pasta
3204,Vampire,Yes,561.0,F,174.0,36.0,5.0,garlic,rats
9803,Skeleton,No,1647.0,F,152.0,31.0,4.0,Hazelnut,pesto pasta
3268,Vampire,No,512.0,M,185.0,32.0,6.0,sunlight,pesto pasta
5838,Ghost,No,3841.0,M,150.0,21.0,1.0,garlic,pesto pasta
9699,Zombie,Yes,74.0,F,158.0,22.0,7.0,cat hair,brain
5675,Ghost,Yes,1398.0,M,175.0,100.0,6.0,sunlight,rats
4884,Skeleton,Yes,851.0,F,188.0,1.0,7.0,silver,pesto pasta
7071,Ghost,Yes,1834.0,F,192.0,74.0,10.0,sunlight,pesto pasta
6053,Vampire,Yes,388.0,M,158.0,38.0,7.0,garlic,pesto pasta
5753,Zombie,No,88.0,M,181.0,20.0,2.0,sunlight,humans
9140,Werewolf,No,128.0,F,157.0,60.0,9.0,silver,lasagna
8482,Vampire,Yes,482.0,F,184.0,41.0,5.0,garlic,pesto pasta
9062,Ghost,Yes,848.0,M,165.0,59.0,1.0,sunlight,lasagna
6424,Werewolf,Yes,1.0,M,153.0,69.0,6.0,hazelnut,brain
6446,Werewolf,No,99.0,M,174.0,71.0,7.0,silver,brain
2696,Vampire,Yes,693.0,F,180.0,52.0,8.0,sunlight,pesto pasta
5596,Skeleton,No,859.0,M,155.0,40.0,3.0,silver,lasagna
6327,Werewolf,No,76.0,F,150.0,73.0,8.0,cat hair,rats
2846,SKELETON,No,480.0,F,171.0,29.0,5.0,silver,lasagna
8449,Vampire,Yes,296.0,F,184.0,40.0,7.0,silver,humans
1736,Witch,Yes,612.0,M,191.0,15.0,3.0,hazelnut,rats
5638,Witch,No,330.0,M,152.0,21.0,7.0,pumpkin,rats
3573,Ghost,No,95.0,M,167.0,1.0,2.0,pumpkin,brain
5332,Skeleton,Yes,1415.0,F,173.0,29.0,8.0,hazelnut,lasagna
1905,Ghost,No,2439.0,F,196.0,28.0,4.0,sunlight,rats
2436,Skeleton,No,702.0,F,166.0,12.0,2.0,silver,brain
5592,Zombie,Yes,200.0,F,188.0,12.0,4.0,sunlight,humans
7096,vampire,Yes,419.0,F,181.0,46.0,4.0,garlic,humans
87,Vampire,Yes,398.0,F,195.0,30.0,4.0,sunlight,brain
3241,Zombie,Yes,94.0,F,160.0,13.0,8.0,cat hair,rats
3046,Witch,Yes,531.0,F,168.0,21.0,1.0,hazelnut,humans
4369,Skeleton,No,585.0,F,191.0,23.0,4.0,Silver,rats
6835,Zombie,No,169.0,M,156.0,16.0,2.0,garlic,humans
160,Skeleton,Yes,1125.0,F,194.0,39.0,8.0,silver,rats
4780,Zombie,Yes,62.0,M,192.0,7.0,5.0,Garlic,lasagna
5789,Ghost,No,3074.0,F,197.0,70.0,7.0,sunlight,humans
2598,Witch,Yes,407.0,M,196.0,26.0,5.0,hazelnut,lasagna
8140,Skeleton,No,523.0,M,190.0,29.0,9.0,silver,pesto pasta
4688,Skeleton,No,721.0,F,168.0,31.0,3.0,cat hair,brain
2824,Ghost,Yes,1624.0,F,177.0,60.0,10.0,sunlight,humans
9166,Vampire,No,415.0,F,176.0,46.0,7.0,sunlight,pesto pasta
2707,Skeleton,No,1321.0,M,168.0,52.0,1.0,silver,brain
1968,Zombie,No,73.0,M,197.0,16.0,3.0,garlic,humans
844,Witch,No,461.0,M,165.0,18.0,1.0,hazelnut,brain
5891,Vampire,Yes,695.0,F,153.0,24.0,9.0,garlic,rats
4898,Vampire,No,437.0,M,174.0,19.0,8.0,garlic,brain
4274,Zombie,Yes,134.0,M,154.0,6.0,2.0,cat hair,brain
224,Vampire,No,681.0,F,150.0,40.0,6.0,silver,humans
5260,Vampire,No,327.0,F,152.0,37.0,7.0,sunlight,brain
1676,Witch,No,310.0,F,150.0,16.0,6.0,hazelnut,brain
5852,Zombie,Yes,139.0,F,181.0,19.0,4.0,garlic,brain
6279,Witch,No,379.0,F,193.0,15.0,8.0,hazelnut,lasagna
8192,Ghost,Yes,299.0,F,178.0,57.0,10.0,garlic,brain
3028,Skeleton,No,1001.0,M,155.0,22.0,8.0,garlic,pesto pasta
674,Werewolf,Yes,96.0,F,160.0,93.0,8.0,hazelnut,lasagna
135,Vampire,Yes,576.0,F,168.0,43.0,6.0,garlic,brain
1664,Witch,Yes,619.0,F,155.0,24.0,1.0,pumpkin,brain
1095,Ghost,No,2813.0,F,178.0,1.0,10.0,sunlight,brain
9072,Ghost,No,1706.0,M,165.0,49.0,10.0,sunlight,lasagna
2719,Ghost,No,1005.0,F,198.0,74.0,2.0,sunlight,brain
6843,Werewolf,Yes,86.0,M,192.0,89.0,3.0,hazelnut,humans
9621,Ghost,Yes,1.0,M,182.0,69.0,10.0,sunlight,pesto pasta
791,Vampire,No,209.0,F,183.0,22.0,3.0,garlic,rats
1757,Ghost,No,1158.0,M,166.0,48.0,9.0,garlic,rats
8471,Zombie,Yes,208.0,M,177.0,11.0,2.0,sunlight,rats
5621,Skeleton,Yes,775.0,M,168.0,27.0,4.0,garlic,rats
9806,Ghost,Yes,1073.0,F,170.0,26.0,8.0,pumpkin,brain
1908,Witch,Yes,164.0,F,182.0,14.0,3.0,hazelnut,rats
9362,Werewolf,Yes,61.0,M,193.0,97.0,8.0,silver,humans
5862,Witch,Yes,407.0,M,180.0,32.0,8.0,hazelnut,humans
6800,Ghost,No,2175.0,M,167.0,75.0,3.0,sunlight,pesto pasta
6565,Skeleton,No,474.0,F,174.0,33.0,8.0,silver,pesto pasta
842,Zombie,Yes,119.0,M,180.0,15.0,2.0,cat hair,pesto pasta
3628,Skeleton,Yes,1013.0,F,196.0,27.0,7.0,silver,humans
9441,Vampire,Yes,823.0,M,169.0,42.0,7.0,garlic,humans
7473,Vampire,Yes,532.0,F,187.0,39.0,7.0,silver,lasagna
4668,Werewolf,Yes,143.0,M,191.0,54.0,7.0,silver,humans
4681,Witch,Yes,495.0,F,157.0,29.0,2.0,hazelnut,lasagna
6137,Werewolf,No,65.0,F,185.0,54.0,6.0,hazelnut,humans
5777,Vampire,No,416.0,F,188.0,42.0,7.0,garlic,rats
3993,Vampire,Yes,176.0,F,197.0,59.0,1.0,silver,brain
4602,Werewolf,Yes,110.0,M,172.0,67.0,9.0,silver,lasagna
6210,Werewolf,No,59.0,M,176.0,100.0,1.0,silver,brain
8621,Zombie,Yes,93.0,F,165.0,13.0,5.0,sunlight,brain
2888,Witch,No,235.0,F,189.0,15.0,4.0,hazelnut,pesto pasta
5911,Vampire,No,637.0,M,167.0,32.0,1.0,silver,brain
1347,Werewolf,Yes,96.0,F,168.0,48.0,7.0,hazelnut,humans
1225,Zombie,Yes,25.0,M,194.0,25.0,3.0,garlic,lasagna
4257,Witch,Yes,391.0,M,167.0,10.0,6.0,hazelnut,humans
7845,Skeleton,No,1415.0,F,193.0,2.0,6.0,silver,brain
7040,Ghost,No,1615.0,M,159.0,58.0,1.0,pumpkin,humans
6253,Skeleton,Yes,1631.0,F,161.0,4.0,5.0,pumpkin,humans
1285,Witch,Yes,181.0,M,159.0,30.0,7.0,hazelnut,pesto pasta
63,Witch,Yes,183.0,M,159.0,23.0,9.0,hazelnut,lasagna
9746,Witch,Yes,418.0,M,179.0,16.0,7.0,hazelnut,pesto pasta
8394,werewolf,Yes,133.0,F,162.0,50.0,7.0,silver,brain
9783,Skeleton,Yes,1712.0,F,165.0,47.0,1.0,pumpkin,rats
8000,Vampire,No,616.0,F,157.0,42.0,6.0,garlic,rats
8581,Vampire,No,895.0,M,174.0,35.0,7.0,garlic,rats
4057,Ghost,No,758.0,M,194.0,39.0,7.0,sunlight,rats
4062,Werewolf,No,121.0,f,196.0,57.0,7.0,silver,rats
1066,Ghost,Yes,1418.0,M,196.0,70.0,3.0,pumpkin,lasagna
2430,Ghost,Yes,3193.0,M,155.0,71.0,5.0,sunlight,lasagna
2362,Werewolf,No,120.0,F,195.0,62.0,4.0,silver,lasagna
7750,Skeleton,Yes,1627.0,F,155.0,22.0,7.0,silver,brain
7974,Vampire,No,567.0,M,160.0,63.0,9.0,garlic,brain
4700,Vampire,Yes,824.0,F,186.0,32.0,8.0,sunlight,lasagna
4542,Witch,Yes,592.0,F,157.0,24.0,8.0,hazelnut,lasagna
8696,Zombie,Yes,122.0,M,157.0,21.0,7.0,garlic,brain
8923,Vampire,Yes,357.0,M,193.0,44.0,7.0,garlic,pesto pasta
383,Zombie,No,1.0,m,197.0,14.0,3.0,sunlight,rats
1358,Vampire,Yes,299.0,F,182.0,36.0,7.0,garlic,pesto pasta
2161,Witch,Yes,227.0,M,164.0,15.0,1.0,hazelnut,rats
5383,Vampire,No,381.0,M,190.0,37.0,7.0,garlic,rats
3839,Witch,Yes,496.0,F,153.0,24.0,5.0,HAZELNUT,humans
2546,Witch,Yes,558.0,M,181.0,24.0,2.0,hazelnut,lasagna
8896,Ghost,Yes,3383.0,M,177.0,15.0,6.0,pumpkin,humans
9267,Vampire,No,408.0,F,155.0,53.0,6.0,silver,humans
1221,Ghost,Yes,1279.0,M,169.0,60.0,3.0,sunlight,rats
812,Vampire,No,410.0,M,189.0,35.0,6.0,sunlight,pesto pasta
8215,Zombie,No,50.0,M,157.0,16.0,4.0,sunlight,brain
9103,Zombie,Yes,80.0,F,157.0,9.0,1.0,pumpkin,humans
3560,Ghost,No,1936.0,F,197.0,73.0,8.0,Garlic,lasagna
6026,Zombie,No,9.0,M,152.0,16.0,3.0,garlic,pesto pasta
950,Zombie,No,90.0,M,193.0,18.0,3.0,silver,humans
530,Vampire,Yes,617.0,M,198.0,23.0,9.0,garlic,lasagna
4472,Vampire,no,894.0,M,176.0,43.0,4.0,sunlight,brain
5223,Ghost,No,887.0,F,171.0,1.0,3.0,sunlight,brain
7061,Zombie,Yes,134.0,M,156.0,14.0,5.0,pumpkin,humans
3153,Vampire,No,590.0,M,190.0,48.0,7.0,sunlight,rats
2908,Zombie,Yes,71.0,M,182.0,16.0,6.0,cat hair,pesto pasta
8184,Zombie,No,141.0,F,156.0,17.0,5.0,sunlight,pesto pasta
619,Skeleton,No,1334.0,M,191.0,10.0,1.0,garlic,pesto pasta
8075,Vampire,No,537.0,F,181.0,37.0,4.0,garlic,rats
5604,Skeleton,No,834.0,F,187.0,41.0,6.0,silver,rats
919,Werewolf,Yes,134.0,M,183.0,57.0,7.0,silver,brain
7214,Vampire,Yes,226.0,F,161.0,30.0,6.0,silver,lasagna
6720,Skeleton,Yes,577.0,F,187.0,33.0,5.0,hazelnut,humans
1865,Witch,No,598.0,F,179.0,11.0,5.0,hazelnut,lasagna
5709,Ghost,No,2133.0,F,170.0,46.0,4.0,hazelnut,humans
9920,Witch,No,486.0,F,181.0,21.0,4.0,hazelnut,humans
579,Witch,No,362.0,M,169.0,19.0,1.0,pumpkin,humans
8963,Vampire,Yes,347.0,F,191.0,44.0,8.0,sunlight,humans
3122,Zombie,No,5.0,F,176.0,12.0,4.0,sunlight,LASAGNA
10053,Werewolf,No,107.0,M,156.0,71.0,6.0,sunlight,pesto pasta
8577,Witch,No,204.0,F,162.0,21.0,1.0,garlic,brain
2479,Zombie,Yes,183.0,M,192.0,12.0,3.0,silver,lasagna
6791,Witch,No,511.0,M,155.0,14.0,4.0,hazelnut,rats
8974,Vampire,Yes,404.0,F,158.0,34.0,5.0,garlic,pesto pasta
3057,Zombie,Yes,84.0,M,165.0,14.0,5.0,garlic,rats
9999,Werewolf,Yes,38.0,F,186.0,44.0,7.0,hazelnut,pesto pasta
615,Ghost,No,972.0,M,195.0,1.0,10.0,silver,pesto pasta
5501,Ghost,No,4233.0,M,183.0,76.0,9.0,sunlight,lasagna
1116,Werewolf,No,82.0,M,180.0,76.0,6.0,silver,Pesto pasta
5051,Zombie,Yes,13.0,M,188.0,8.0,2.0,Cat hair,brain
1321,Werewolf,Yes,114.0,F,185.0,72.0,6.0,cat hair,rats
2149,Ghost,No,1316.0,M,181.0,66.0,6.0,pumpkin,brain
5110,Witch,Yes,411.0,F,151.0,11.0,3.0,hazelnut,pesto pasta
1749,Witch,Yes,478.0,M,181.0,18.0,1.0,garlic,brain
1797,Zombie,No,36.0,M,195.0,8.0,5.0,sunlight,rats
1954,Werewolf,No,120.0,M,172.0,58.0,1.0,cat hair,humans
6195,Skeleton,Yes,303.0,F,173.0,33.0,5.0,silver,rats
9764,Werewolf,No,113.0,F,194.0,100.0,7.0,silver,humans
1901,Vampire,No,289.0,M,179.0,40.0,7.0,garlic,lasagna
8281,Skeleton,No,834.0,F,194.0,29.0,10.0,pumpkin,brain
1701,Ghost,Yes,1.0,M,176.0,45.0,2.0,pumpkin,rats
2154,Witch,Yes,270.0,M,191.0,20.0,8.0,hazelnut,pesto pasta
8899,Skeleton,No,325.0,F,156.0,30.0,8.0,silver,pesto pasta
3298,Zombie,No,1.0,M,179.0,13.0,4.0,sunlight,rats
9773,Witch,No,364.0,M,161.0,18.0,3.0,hazelnut,pesto pasta
208,Skeleton,Yes,172.0,F,191.0,35.0,3.0,silver,brain
7472,Skeleton,No,993.0,M,188.0,37.0,9.0,garlic,pesto pasta
4529,Vampire,Yes,489.0,F,153.0,28.0,6.0,silver,humans
917,Vampire,Yes,600.0,F,188.0,59.0,9.0,silver,brain
3774,Zombie,Yes,34.0,M,192.0,8.0,1.0,cat hair,pesto pasta
2416,Werewolf,No,82.0,M,162.0,50.0,7.0,silver,lasagna
9553,Werewolf,Yes,83.0,F,193.0,41.0,1.0,hazelnut,pesto pasta
260,Vampire,No,304.0,M,168.0,46.0,4.0,silver,pesto pasta
6364,Zombie,No,181.0,M,164.0,8.0,2.0,cat hair,pesto pasta
9227,Ghost,Yes,1881.0,F,176.0,65.0,10.0,hazelnut,rats
2981,Zombie,No,1.0,M,189.0,11.0,3.0,silver,rats
9878,Skeleton,Yes,860.0,F,151.0,40.0,1.0,silver,pesto pasta
2427,Zombie,No,145.0,M,150.0,20.0,2.0,garlic,brain
8893,Ghost,Yes,3015.0,F,159.0,89.0,10.0,pumpkin,rats
1267,Werewolf,No,83.0,M,150.0,77.0,7.0,hazelnut,humans
4343,Vampire,No,52.0,f,180.0,40.0,6.0,garlic,Rats
4626,Witch,No,259.0,M,174.0,20.0,5.0,hazelnut,lasagna
2165,Vampire,Yes,730.0,F,176.0,34.0,7.0,silver,rats
469,Zombie,Yes,143.0,M,189.0,17.0,5.0,Pumpkin,lasagna
7086,Zombie,No,29.0,M,176.0,19.0,1.0,cat hair,humans
1910,Vampire,Yes,503.0,M,199.0,24.0,9.0,sunlight,rats
1401,werewolf,Yes,150.0,M,177.0,62.0,6.0,silver,pesto pasta
8566,Ghost,No,1.0,F,171.0,42.0,3.0,pumpkin,rats
1299,Witch,Yes,563.0,F,175.0,16.0,1.0,hazelnut,pesto pasta
2699,Vampire,Yes,600.0,M,153.0,36.0,3.0,garlic,lasagna
7770,Zombie,No,125.0,F,157.0,18.0,6.0,sunlight,Humans
8847,Skeleton,No,345.0,F,169.0,21.0,10.0,garlic,rats
4043,Skeleton,Yes,1033.0,F,166.0,62.0,8.0,silver,humans
1965,Witch,No,403.0,M,175.0,25.0,8.0,hazelnut,brain
7380,Werewolf,Yes,13.0,M,157.0,54.0,6.0,silver,pesto pasta
4963,Witch,No,388.0,M,160.0,14.0,1.0,hazelnut,humans
4355,Witch,No,662.0,M,171.0,19.0,2.0,hazelnut,brain
6993,Witch,No,412.0,F,156.0,23.0,3.0,hazelnut,pesto pasta
2745,Ghost,Yes,1450.0,M,182.0,58.0,2.0,pumpkin,pesto pasta
5412,Witch,Yes,256.0,F,188.0,16.0,3.0,hazelnut,rats
8552,Skeleton,No,902.0,M,159.0,4.0,6.0,silver,lasagna
2417,Ghost,No,2293.0,F,167.0,55.0,10.0,cat hair,brain
315,Vampire,Yes,438.0,F,192.0,29.0,7.0,garlic,pesto pasta
2672,Skeleton,Yes,354.0,M,182.0,18.0,7.0,silver,lasagna
6004,Skeleton,yes,246.0,M,176.0,24.0,5.0,garlic,humans
9759,Skeleton,No,1255.0,F,175.0,28.0,6.0,silver,pesto pasta
4350,Ghost,No,1.0,F,180.0,68.0,4.0,pumpkin,lasagna
9336,Werewolf,Yes,182.0,F,151.0,73.0,6.0,hazelnut,lasagna
8954,Werewolf,Yes,110.0,F,188.0,71.0,8.0,silver,brain
4638,Witch,Yes,505.0,F,158.0,19.0,2.0,hazelnut,brain
4772,Ghost,No,2387.0,M,198.0,80.0,3.0,pumpkin,rats
1020,Witch,Yes,663.0,M,157.0,22.0,1.0,pumpkin,brain
6035,Ghost,Yes,976.0,F,161.0,54.0,1.0,sunlight,pesto pasta
8626,Ghost,Yes,2017.0,F,175.0,36.0,9.0,pumpkin,lasagna
8405,Ghost,No,615.0,M,157.0,34.0,3.0,hazelnut,brain
8553,Skeleton,No,,M,178.0,30.0,6.0,silver,pesto pasta
1146,Vampire,Yes,822.0,F,197.0,41.0,6.0,garlic,pesto pasta
5917,Werewolf,Yes,105.0,F,196.0,53.0,6.0,hazelnut,brain
5513,Ghost,Yes,3163.0,F,186.0,31.0,9.0,sunlight,brain
3714,Werewolf,No,79.0,F,162.0,20.0,6.0,hazelnut,brain
1257,Zombie,No,56.0,F,180.0,11.0,4.0,cat hair,lasagna
3569,Witch,Yes,311.0,F,165.0,25.0,4.0,hazelnut,pesto pasta
1565,Skeleton,Yes,2439.0,M,181.0,32.0,5.0,garlic,pesto pasta
3084,Vampire,Yes,315.0,M,160.0,49.0,6.0,sunlight,pesto pasta
3805,Vampire,No,404.0,M,174.0,43.0,8.0,sunlight,pesto pasta
4330,Skeleton,Yes,407.0,M,182.0,28.0,9.0,garlic,brain
1438,Ghost,Yes,3045.0,M,185.0,77.0,3.0,garlic,lasagna
2485,Zombie,Yes,136.0,F,168.0,19.0,1.0,cat hair,pesto pasta
6982,Skeleton,Yes,298.0,M,166.0,38.0,3.0,silver,humans
7700,Zombie,Yes,171.0,M,173.0,16.0,4.0,garlic,pesto pasta
2541,Zombie,No,1.0,M,187.0,17.0,3.0,garlic,brain
9578,Skeleton,No,1342.0,F,179.0,16.0,9.0,silver,rats
8153,Werewolf,No,176.0,M,176.0,72.0,7.0,silver,brain
4808,Zombie,Yes,119.0,M,173.0,9.0,9.0,cat hair,pesto pasta
8334,Skeleton,No,1397.0,F,194.0,10.0,8.0,cat hair,pesto pasta
1229,Witch,Yes,599.0,M,162.0,15.0,3.0,hazelnut,brain
7030,Werewolf,Yes,109.0,M,163.0,80.0,1.0,cat hair,brain
5847,Witch,Yes,482.0,M,164.0,19.0,8.0,silver,humans
6559,Werewolf,No,46.0,F,155.0,45.0,7.0,silver,rats
1668,Ghost,Yes,1379.0,F,181.0,61.0,8.0,garlic,humans
718,Werewolf,No,72.0,M,195.0,43.0,7.0,silver,brain
4685,Zombie,Yes,159.0,F,153.0,16.0,6.0,silver,pesto pasta
4835,Witch,No,539.0,F,177.0,20.0,5.0,pumpkin,brain
4999,Zombie,No,89.0,F,186.0,28.0,2.0,sunlight,pesto pasta
9265,Skeleton,Yes,1717.0,M,192.0,39.0,3.0,silver,rats
8884,Werewolf,Yes,89.0,F,196.0,100.0,6.0,cat hair,humans
3665,Witch,Yes,497.0,M,160.0,14.0,4.0,hazelnut,lasagna
8638,Skeleton,No,1345.0,M,165.0,33.0,1.0,silver,lasagna
5525,Ghost,Yes,754.0,F,151.0,31.0,9.0,hazelnut,brain
4120,Skeleton,No,1805.0,F,162.0,9.0,2.0,silver,brain
561,Skeleton,Yes,1568.0,M,170.0,35.0,2.0,hazelnut,humans
6739,Witch,No,520.0,F,157.0,18.0,6.0,hazelnut,lasagna
2998,Ghost,Yes,1112.0,M,182.0,41.0,1.0,cat hair,lasagna
7065,Zombie,No,37.0,F,183.0,18.0,1.0,sunlight,pesto pasta
8959,Ghost,Yes,3111.0,M,191.0,42.0,10.0,sunlight,pesto pasta
2213,Werewolf,Yes,1.0,F,183.0,83.0,7.0,hazelnut,humans
3121,Skeleton,No,1725.0,M,179.0,1.0,5.0,silver,rats
8436,Ghost,No,106.0,F,153.0,2.0,8.0,hazelnut,rats
320,Skeleton,No,1013.0,F,193.0,50.0,2.0,silver,brain
7145,Vampire,No,834.0,M,154.0,42.0,4.0,sunlight,pesto pasta
9655,Vampire,Yes,314.0,F,171.0,51.0,7.0,garlic,pesto pasta
4679,Witch,Yes,290.0,M,162.0,24.0,5.0,garlic,pesto pasta
5791,Skeleton,Yes,449.0,M,163.0,25.0,6.0,silver,lasagna
8709,Vampire,No,687.0,F,168.0,58.0,6.0,sunlight,humans
7468,Zombie,Yes,106.0,M,194.0,11.0,3.0,garlic,lasagna
2567,Skeleton,No,1466.0,M,186.0,8.0,2.0,silver,brain
7952,Ghost,No,2991.0,M,158.0,68.0,6.0,sunlight,rats
8851,Witch,No,275.0,F,197.0,22.0,1.0,hazelnut,lasagna
4354,Ghost,No,778.0,F,152.0,68.0,7.0,cat hair,brain
7931,Werewolf,Yes,147.0,M,170.0,78.0,6.0,cat hair,lasagna
9364,Ghost,Yes,710.0,M,193.0,65.0,2.0,garlic,lasagna
5931,Vampire,No,473.0,M,188.0,60.0,6.0,sunlight,lasagna
6677,Skeleton,No,1486.0,F,182.0,6.0,9.0,silver,rats
5302,Witch,Yes,687.0,F,171.0,19.0,1.0,hazelnut,brain
5209,Werewolf,Yes,101.0,F,188.0,78.0,6.0,cat hair,rats
7646,Werewolf,Yes,89.0,M,159.0,65.0,8.0,silver,brain
4894,zombie,Yes,95.0,F,164.0,17.0,4.0,pumpkin,brain
3392,Vampire,No,1.0,F,176.0,29.0,9.0,sunlight,rats
1547,Skeleton,No,945.0,F,187.0,13.0,2.0,garlic,rats
6134,Skeleton,Yes,963.0,F,190.0,25.0,2.0,silver,pesto pasta
9196,Zombie,Yes,63.0,M,162.0,13.0,2.0,cat hair,humans
9450,Skeleton,No,1.0,M,197.0,4.0,7.0,silver,humans
7819,Zombie,No,61.0,F,171.0,15.0,3.0,garlic,pesto pasta
3457,Skeleton,No,1033.0,F,185.0,10.0,4.0,silver,brain
5748,Werewolf,No,54.0,F,193.0,70.0,6.0,silver,brain
2834,Skeleton,Yes,264.0,F,176.0,31.0,3.0,silver,brain
866,Ghost,Yes,1723.0,M,159.0,1.0,10.0,silver,brain
1608,Ghost,Yes,2597.0,F,177.0,28.0,2.0,sunlight,brain
6159,Skeleton,No,962.0,M,194.0,19.0,5.0,silver,pesto pasta
4335,Werewolf,Yes,1.0,M,165.0,92.0,7.0,silver,lasagna
2031,Ghost,No,3312.0,M,161.0,26.0,10.0,cat hair,rats
29,Vampire,Yes,487.0,F,167.0,52.0,6.0,silver,pesto pasta
726,Witch,Yes,419.0,M,160.0,19.0,5.0,silver,lasagna
6271,Zombie,Yes,54.0,M,165.0,16.0,4.0,cat hair,lasagna
4532,Vampire,No,656.0,M,171.0,40.0,8.0,garlic,Brain
1640,Skeleton,No,1155.0,F,190.0,1.0,2.0,garlic,brain
7034,Skeleton,Yes,1694.0,F,156.0,43.0,10.0,silver,lasagna
623,Ghost,No,1271.0,M,164.0,49.0,8.0,sunlight,humans
396,Werewolf,Yes,53.0,m,162.0,65.0,8.0,silver,lasagna
3566,Vampire,Yes,382.0,F,150.0,46.0,4.0,garlic,pesto pasta
4349,Werewolf,No,108.0,M,150.0,75.0,6.0,hazelnut,brain
