Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found
6967,2022-08-23,Zombie,71.0,swamp,assault,axe,dusk,potions
5363,2023-01-25,Skeleton,27.0,forest,assault,brute force,day,bones
32,2022-03-07,Werewolf,94.0,forest,nightly disturbance,axe,night,blood
5734,2024-02-17,Zombie,20.0,swamp,kidnapping,knife,dusk,bones
4431,2020-12-26,Ghost,25.0,village,arson,pistol,night,cloak
30,2023-10-05,Witch,31.0,village,kidnapping,axe,dawn,cloak
4244,2020-12-07,Zombie,26.0,mountain,murder,brute force,dusk,bones
7580,2023-01-21,Werewolf,43.0,forest,assault,pistol,night,teeth
743,2022-06-29,Skeleton,26.0,mountain,vandalism,N/A,day,cloak
2090,2021-01-23,Vampire,47.0,castle,nightly disturbance,brute force,night,blood
107,2023-05-22,Witch,19.0,village,arson,N/A,day,potions
9741,2019-11-20,Witch,29.0,forest,kidnapping,pistol,night,cloak
8984,2020-11-01,Vampire,22.0,castle,assault,N/A,night,blood
8097,2021-12-31,Skeleton,90.0,mountain,nightly disturbance,knife,night,bones
2259,2021-08-18,Skeleton,26.0,mountain,arson,axe,day,cloak
1003,2020-03-19,Zombie,82.0,village,assault,brute force,night,blood
9507,2021-12-25,Ghost,69.0,castle,nightly disturbance,axe,night,potions
7129,2020-08-17,Skeleton,82.0,mountain,arson,knife,dusk,cloak
6858,2020-07-18,Ghost,15.0,castle,nightly disturbance,N/A,night,cloak
365,2020-05-08,Zombie,29.0,swamp,assault,knife,dawn,fur
309,2024-10-10,Werewolf,48.0,forest,assault,N/A,night,bones
2656,2022-11-20,Ghost,30.0,castle,vandalism,pistol,night,cloak
9055,2022-11-02,Ghost,45.0,castle,arson,axe,night,cloak
4559,2021-07-09,Skeleton,63.0,castle,arson,brute force,day,cloak
5970,2021-10-04,Werewolf,19.0,forest,vandalism,axe,night,blood
8398,2022-12-22,Werewolf,18.0,forest,nightly disturbance,knife,night,fur
3134,2023-11-27,Skeleton,65.0,mountain,nightly disturbance,brute force,night,bones
5763,2022-09-30,Vampire,12.0,castle,nightly disturbance,N/A,night,blood
3937,2020-11-13,Werewolf,79.0,mountain,nightly disturbance,pistol,night,potions
5497,2022-10-30,Ghost,57.0,castle,nightly disturbance,pistol,night,cloak
8007,2023-09-03,Vampire,22.0,mountain,nightly disturbance,pistol,night,blood
629,2021-09-07,Zombie,52.0,mountain,kidnapping,N/A,dusk,blood
7306,2024-05-03,Vampire,8.0,castle,assault,brute force,night,blood
2526,2023-05-16,Werewolf,88.0,forest,assault,pistol,dusk,fur
721,2020-10-11,Zombie,17.0,mountain,kidnapping,pistol,dawn,teeth
8489,2021-04-05,Witch,54.0,village,arson,pistol,day,potions
2887,2021-04-24,Witch,69.0,mountain,kidnapping,N/A,dusk,cloak
4312,2020-08-07,Skeleton,43.0,swamp,arson,Pistol,day,bones
2940,2020-07-06,Ghost,55.0,castle,vandalism,pistol,dawn,potions
8160,2022-02-27,Skeleton,5.0,swamp,arson,N/A,day,cloak
4562,2024-09-28,Vampire,88.0,mountain,assault,axe,night,cloak
1276,2022-06-15,Skeleton,23.0,castle,arson,knife,day,bones
3194,2024-02-29,Ghost,4.0,village,arson,axe,night,potions
980,2023-02-23,Skeleton,3.0,mountain,nightly disturbance,axe,night,bones
3952,2020-09-09,Vampire,53.0,castle,theft,knife,dawn,cloak
5250,2020-06-13,Werewolf,65.0,mountain,assault,knife,night,fur
8936,2021-06-20,Ghost,88.0,castle,theft,knife,dusk,potions
264,2022-11-07,Witch,73.0,Village,arson,N/A,dawn,cloak
3829,2023-08-30,Zombie,24.0,swamp,kidnapping,knife,dusk,bones
9294,2024-10-10,Vampire,35.0,forest,assault,axe,night,blood
495,2024-10-25,Ghost,1.0,castle,vandalism,pistol,night,cloak
7984,2024-04-12,Ghost,15.0,village,vandalism,N/A,night,potions
526,2023-05-26,Werewolf,14.0,mountain,assault,N/A,night,teeth
8427,2021-10-15,Ghost,80.0,castle,vandalism,axe,night,potions
316,2024-05-09,Skeleton,28.0,mountain,nightly disturbance,knife,night,bones
3266,2020-10-22,Skeleton,98.0,mountain,vandalism,pistol,dusk,bones
8009,2021-09-22,Vampire,85.0,castle,murder,knife,night,blood
7530,2021-10-10,Ghost,88.0,village,nightly disturbance,brute force,night,cloak
9881,2024-05-31,Skeleton,60.0,castle,Assault,knife,day,cloak
5235,2020-07-23,Witch,16.0,village,kidnapping,knife,day,teeth
8156,2021-11-07,Zombie,4.0,swamp,vandalism,brute force,night,potions
6567,2023-03-18,Witch,23.0,swamp,kidnapping,N/A,day,potions
6859,2023-08-04,Ghost,16.0,village,nightly disturbance,N/A,night,cloak
7849,2022-03-12,Ghost,62.0,forest,vandalism,knife,dusk,potions
2767,2022-11-29,Zombie,47.0,swamp,kidnapping,brute force,day,blood
7918,2024-01-14,Skeleton,6.0,castle,assault,knife,dawn,bones
6325,2023-03-11,Werewolf,73.0,swamp,assault,pistol,dusk,blood
8289,2024-05-17,Witch,78.0,swamp,kidnapping,knife,dawn,potions
1261,2021-04-26,Ghost,85.0,castle,vandalism,pistol,NIGHT,cloak
9427,2022-02-03,Werewolf,38.0,forest,assault,pistol,night,blood
4236,2023-06-02,Vampire,53.0,village,nightly disturbance,brute force,night,teeth
8077,2024-03-06,Vampire,62.0,castle,nightly disturbance,knife,night,blood
7450,2021-04-21,Witch,66.0,swamp,arson,axe,dusk,blood
3470,2020-08-02,Zombie,46.0,mountain,kidnapping,N/A,dusk,potions
5437,2020-12-11,Zombie,6.0,swamp,kidnapping,N/A,night,fur
967,2020-09-29,Zombie,6.0,village,kidnapping,brute force,night,teeth
423,2021-02-22,Werewolf,16.0,village,assault,knife,night,teeth
5801,2021-03-05,Zombie,47.0,village,assault,knife,dusk,teeth
6796,2024-09-08,Werewolf,70.0,forest,assault,knife,day,bones
4426,2022-03-24,Skeleton,61.0,mountain,nightly disturbance,pistol,night,bones
5248,2020-08-15,Vampire,6.0,mountain,nightly disturbance,N/A,night,cloak
1124,2023-09-12,Vampire,33.0,castle,nightly disturbance,knife,night,blood
2718,2022-04-26,Witch,56.0,mountain,arson,knife,dusk,cloak
6538,2021-12-19,Werewolf,27.0,village,vandalism,pistol,night,fur
8909,2023-04-03,Witch,26.0,village,arson,N/A,dusk,bones
7884,2019-12-08,Zombie,63.0,mountain,assault,N/A,night,potions
3445,2021-07-22,Werewolf,26.0,mountain,assault,pistol,night,fur
81,2023-07-15,Werewolf,6.0,mountain,vandalism,brute force,night,fur
4659,2021-08-04,Werewolf,37.0,forest,kidnapping,axe,night,fur
1388,2023-10-22,Vampire,84.0,castle,nightly disturbance,axe,night,cloak
1525,2022-07-25,Vampire,83.0,castle,nightly disturbance,N/A,night,teeth
6508,2021-06-25,Werewolf,44.0,forest,assault,knife,dawn,fur
3102,2022-10-07,Vampire,68.0,village,murder,pistol,night,blood
3047,2022-09-27,Skeleton,19.0,mountain,vandalism,N/A,night,cloak
4869,2022-02-28,Vampire,67.0,village,assault,knife,night,blood
7898,2021-02-17,Ghost,36.0,village,nightly disturbance,knife,night,cloak
93,2023-05-23,Werewolf,56.0,forest,kidnapping,N/A,night,fur
9515,2022-08-15,Vampire,34.0,castle,assault,N/A,night,cloak
6665,2020-06-18,Ghost,79.0,castle,nightly disturbance,pistol,night,cloak
4487,2024-04-13,Vampire,72.0,village,murder,brute force,night,teeth
7675,2020-10-07,Zombie,10.0,swamp,assault,knife,dawn,potions
3873,2022-11-15,Werewolf,24.0,mountain,assault,brute force,dusk,blood
9798,2023-07-28,Ghost,53.0,castle,theft,N/A,night,cloak
4365,2022-11-04,Werewolf,33.0,mountain,nightly disturbance,N/A,night,potions
3428,2022-07-27,Ghost,16.0,village,nightly disturbance,axe,night,potions
4798,2024-03-20,Ghost,50.0,village,nightly disturbance,brute force,night,cloak
7299,2023-08-31,Vampire,16.0,castle,murder,pistol,night,teeth
9282,2020-08-19,Zombie,96.0,swamp,kidnapping,axe,dawn,teeth
2388,2020-10-03,Witch,82.0,village,arson,knife,dusk,cloak
1160,2020-05-27,Zombie,59.0,swamp,kidnapping,brute force,dusk,teeth
5724,2021-02-02,Skeleton,60.0,mountain,nightly disturbance,brute force,night,bones
8154,2023-05-30,Werewolf,74.0,forest,vandalism,knife,night,teeth
4989,2022-05-14,Ghost,62.0,village,vandalism,knife,night,potions
3699,2024-07-14,Ghost,45.0,village,vandalism,pistol,night,potions
1578,2021-02-16,Werewolf,81.0,village,assault,N/A,night,teeth
4153,2021-09-08,Vampire,62.0,village,nightly disturbance,N/A,night,cloak
9140,2022-10-06,Werewolf,42.0,village,assault,pistol,night,teeth
9367,2022-12-09,Zombie,60.0,swamp,kidnapping,brute force,night,potions
8624,2020-08-23,Skeleton,61.0,castle,vandalism,brute force,dawn,bones
802,2022-04-30,Ghost,83.0,mountain,nightly disturbance,brute force,night,cloak
5913,2023-11-03,Vampire,94.0,castle,assault,knife,night,blood
7693,2021-06-17,Witch,75.0,mountain,arson,N/A,night,bones
1609,2021-02-26,Zombie,81.0,village,kidnapping,pistol,dawn,blood
7490,2020-06-04,Werewolf,94.0,forest,assault,knife,night,teeth
5320,2020-10-07,Ghost,23.0,village,nightly disturbance,knife,night,potions
7217,2021-06-01,Witch,12.0,village,Arson,knife,dawn,blood
89,2020-05-23,Ghost,1.0,village,vandalism,pistol,dusk,cloak
8783,2019-12-20,Witch,91.0,village,arson,brute force,night,cloak
9829,2024-02-20,Ghost,21.0,castle,vandalism,knife,night,cloak
9540,2022-10-12,Zombie,89.0,village,kidnapping,brute force,NIGHT,teeth
6822,2023-06-13,Werewolf,37.0,forest,nightly disturbance,axe,night,fur
3537,2023-02-27,Werewolf,6.0,forest,assault,knife,night,fur
2260,2023-03-22,Zombie,76.0,village,kidnapping,brute force,dawn,bones
2833,2020-07-20,Witch,19.0,swamp,arson,knife,dusk,bones
4468,2023-10-25,Witch,65.0,village,kidnapping,pistol,dawn,bones
5721,2024-08-19,Zombie,21.0,swamp,kidnapping,axe,day,bones
7240,2022-02-13,Werewolf,5.0,mountain,kidnapping,brute force,night,fur
8421,2023-02-27,Ghost,35.0,castle,vandalism,N/A,night,potions
2172,2023-05-18,Zombie,82.0,swamp,vandalism,pistol,night,bones
8045,2022-04-13,GHOST,53.0,castle,theft,N/A,night,potions
6616,2023-10-18,Ghost,80.0,village,vandalism,brute force,night,potions
7717,2023-07-16,Witch,61.0,village,kidnapping,N/A,dawn,teeth
6225,2024-09-21,Ghost,45.0,village,arson,brute force,dawn,cloak
1510,2022-01-21,Ghost,81.0,castle,theft,N/A,night,cloak
7771,2022-11-26,Ghost,98.0,castle,vandalism,brute force,night,potions
7164,2022-06-30,Skeleton,84.0,castle,assault,knife,dusk,bones
1423,2024-10-03,Zombie,3.0,mountain,kidnapping,pistol,dawn,teeth
6759,2024-08-01,Vampire,81.0,castle,assault,N/A,night,cloak
3435,2020-07-26,Skeleton,53.0,castle,assault,brute force,night,
109,2022-10-27,Vampire,33.0,castle,assault,knife,night,blood
5694,2021-11-30,Skeleton,63.0,mountain,nightly disturbance,pistol,night,cloak
8568,2021-09-28,Ghost,7.0,forest,nightly disturbance,N/A,night,potions
6669,2023-11-20,Skeleton,53.0,mountain,Arson,brute force,day,cloak
1102,2022-12-06,Witch,80.0,mountain,arson,knife,dusk,potions
5617,2021-07-11,Skeleton,68.0,mountain,assault,knife,day,bones
9506,2022-05-08,Ghost,21.0,mountain,nightly disturbance,brute force,night,potions
8224,2021-08-24,Witch,72.0,swamp,arson,knife,dusk,cloak
8751,2024-10-14,Witch,78.0,village,kidnapping,N/A,night,cloak
6661,2024-10-16,Witch,40.0,village,arson,brute force,day,potions
631,2020-06-22,Ghost,73.0,village,nightly disturbance,pistol,night,potions
6940,2023-02-19,Vampire,79.0,forest,assault,axe,night,teeth
4860,2022-12-05,Vampire,66.0,castle,assault,knife,dawn,blood
6618,2022-10-10,Vampire,61.0,castle,assault,N/A,night,teeth
7602,2022-03-11,Zombie,26.0,swamp,assault,brute force,night,teeth
5855,2023-11-23,Werewolf,50.0,forest,vandalism,brute force,dusk,teeth
7509,2023-01-18,WEREWOLF,80.0,forest,assault,pistol,night,bones
4259,2023-01-24,Werewolf,41.0,forest,assault,pistol,night,fur
6000,2024-05-18,Zombie,94.0,mountain,vandalism,pistol,night,potions
8587,2021-07-30,Werewolf,84.0,forest,nightly disturbance,pistol,night,fur
6494,2020-02-22,Werewolf,92.0,swamp,assault,axe,night,fur
6896,2020-07-31,Werewolf,49.0,FOREST,nightly disturbance,brute force,night,fur
4172,2022-06-04,Vampire,95.0,castle,murder,knife,night,blood
7878,2021-05-09,Skeleton,85.0,mountain,arson,axe,day,bones
7830,2022-11-25,Ghost,75.0,castle,vandalism,N/A,dawn,cloak
4768,2022-04-12,Zombie,17.0,swamp,kidnapping,N/A,night,teeth
1667,2021-06-25,Vampire,81.0,castle,assault,brute force,dawn,teeth
4182,2020-05-31,Werewolf,67.0,mountain,Assault,pistol,dusk,fur
1633,2021-06-07,Zombie,96.0,swamp,kidnapping,axe,night,potions
2052,2024-03-07,Zombie,5.0,forest,kidnapping,knife,dusk,potions
8604,2023-09-09,Witch,76.0,swamp,kidnapping,axe,day,potions
4621,2024-03-01,Vampire,99.0,castle,assault,brute force,dusk,cloak
4033,2020-08-02,Vampire,99.0,mountain,murder,knife,dawn,blood
7449,2024-06-29,Zombie,72.0,swamp,murder,brute force,Dusk,bones
6211,2023-07-02,Zombie,99.0,swamp,kidnapping,axe,night,potions
4955,2024-07-26,Vampire,81.0,castle,nightly disturbance,axe,night,teeth
5074,2023-02-11,Ghost,41.0,castle,nightly disturbance,N/A,night,potions
8345,2020-01-22,Werewolf,68.0,swamp,assault,N/A,dawn,fur
4778,2023-04-05,Skeleton,62.0,mountain,nightly disturbance,knife,night,bones
7621,2023-09-13,Skeleton,59.0,castle,nightly disturbance,N/A,night,bones
8215,2021-09-20,Zombie,84.0,mountain,kidnapping,knife,night,teeth
1622,2019-11-15,Vampire,2.0,castle,assault,knife,night,teeth
4820,2021-04-20,Vampire,80.0,castle,nightly disturbance,knife,night,teeth
8189,2023-01-09,Skeleton,91.0,mountain,nightly disturbance,knife,night,bones
7021,2023-12-27,Ghost,48.0,village,theft,N/A,night,potions
6064,2020-05-31,Skeleton,67.0,castle,vandalism,pistol,dusk,Cloak
7804,2019-11-20,Vampire,68.0,castle,Assault,axe,dawn,cloak
3578,2022-02-22,Zombie,65.0,swamp,assault,axe,night,potions
393,2022-07-22,Zombie,65.0,swamp,kidnapping,pistol,night,bones
1814,2022-12-29,Ghost,70.0,village,arson,pistol,dusk,cloak
8820,2020-01-27,Witch,10.0,swamp,arson,N/A,night,blood
4966,2020-07-29,Witch,37.0,forest,kidnapping,N/A,dusk,bones
5595,2020-08-19,Witch,39.0,swamp,arson,brute force,day,Potions
3911,2021-10-07,Zombie,36.0,Mountain,murder,brute force,dusk,bones
8958,2022-07-16,Werewolf,71.0,village,kidnapping,knife,night,bones
2281,2022-10-04,Ghost,72.0,mountain,vandalism,axe,night,potions
3447,2019-12-13,Witch,67.0,mountain,arson,pistol,day,bones
5516,2023-08-17,Zombie,54.0,swamp,kidnapping,knife,day,blood
5002,2022-05-07,Vampire,87.0,castle,assault,pistol,dawn,cloak
7469,2024-01-05,Vampire,96.0,mountain,assault,knife,night,blood
5471,2021-02-04,Zombie,55.0,village,kidnapping,N/A,day,teeth
7472,2022-08-16,Skeleton,64.0,castle,nightly disturbance,brute force,night,bones
7487,2021-10-28,Vampire,75.0,castle,assault,brute force,night,blood
9191,2022-10-24,Vampire,19.0,castle,nightly disturbance,axe,night,teeth
4898,2022-05-22,Vampire,60.0,castle,murder,brute force,night,blood
2048,2021-11-25,Skeleton,32.0,mountain,vandalism,N/A,day,bones
2643,2021-11-20,Ghost,42.0,castle,nightly disturbance,knife,night,cloak
7461,2020-10-29,Skeleton,79.0,mountain,arson,brute force,dawn,cloak
2958,2023-11-14,Ghost,98.0,village,vandalism,knife,night,cloak
1133,2024-02-02,Witch,3.0,village,arson,knife,dusk,cloak
2942,2022-05-07,Witch,15.0,village,arson,knife,night,cloak
8228,2024-02-11,Vampire,89.0,Mountain,assault,N/A,dusk,cloak
