importtIndex_Monster,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food,Age Bin
4884,skeleton,yes,851.0,f,188.0,0.01,0.7,silver,pesto pasta,middle age
7071,ghost,yes,1834.0,f,192.0,0.74,1.0,sunlight,pesto pasta,old
6053,vampire,yes,388.0,m,158.0,0.38,0.7,garlic,pesto pasta,adult
5753,zombie,no,88.0,m,181.0,0.2,0.2,sunlight,humans,teen
9140,werewolf,no,128.0,f,157.0,0.6,0.9,silver,lasagna,teen
8482,vampire,yes,482.0,f,184.0,0.41,0.5,garlic,pesto pasta,adult
9062,ghost,yes,848.0,m,165.0,0.59,0.1,sunlight,lasagna,middle age
6424,werewolf,yes,1.0,m,153.0,0.69,0.6,hazelnut,brain,baby
6446,werewolf,no,99.0,m,174.0,0.71,0.7,silver,brain,teen
2696,vampire,yes,693.0,f,180.0,0.52,0.8,sunlight,pesto pasta,middle age
5596,skeleton,no,859.0,m,155.0,0.4,0.3,silver,lasagna,middle age
6327,werewolf,no,76.0,f,150.0,0.73,0.8,cat hair,rats,baby
2846,skeleton,no,480.0,f,171.0,0.29,0.5,silver,lasagna,adult
8449,vampire,yes,296.0,f,184.0,0.4,0.7,silver,humans,young adult
1736,witch,yes,612.0,m,191.0,0.15,0.3,hazelnut,rats,middle age
5638,witch,no,330.0,m,152.0,0.21,0.7,pumpkin,rats,young adult
3573,ghost,no,95.0,m,167.0,0.01,0.2,pumpkin,brain,teen
5332,skeleton,yes,1415.0,f,173.0,0.29,0.8,hazelnut,lasagna,old
1905,ghost,no,2439.0,f,196.0,0.28,0.4,sunlight,rats,old
2436,skeleton,no,702.0,f,166.0,0.12,0.2,silver,brain,middle age
5592,zombie,yes,200.0,f,188.0,0.12,0.4,sunlight,humans,young adult
7096,vampire,yes,419.0,f,181.0,0.46,0.4,garlic,humans,adult
87,vampire,yes,398.0,f,195.0,0.3,0.4,sunlight,brain,adult
3241,zombie,yes,94.0,f,160.0,0.13,0.8,cat hair,rats,teen
3046,witch,yes,531.0,f,168.0,0.21,0.1,hazelnut,humans,adult
4369,skeleton,no,585.0,f,191.0,0.23,0.4,silver,rats,adult
6835,zombie,no,169.0,m,156.0,0.16,0.2,garlic,humans,young adult
160,skeleton,yes,1125.0,f,194.0,0.39,0.8,silver,rats,middle age
4780,zombie,yes,62.0,m,192.0,0.07,0.5,garlic,lasagna,baby
5789,ghost,no,3074.0,f,197.0,0.7,0.7,sunlight,humans,old
2598,witch,yes,407.0,m,196.0,0.26,0.5,hazelnut,lasagna,adult
8140,skeleton,no,523.0,m,190.0,0.29,0.9,silver,pesto pasta,adult
4688,skeleton,no,721.0,f,168.0,0.31,0.3,cat hair,brain,middle age
2824,ghost,yes,1624.0,f,177.0,0.6,1.0,sunlight,humans,old
9166,vampire,no,415.0,f,176.0,0.46,0.7,sunlight,pesto pasta,adult
2707,skeleton,no,1321.0,m,168.0,0.52,0.1,silver,brain,old
1968,zombie,no,73.0,m,197.0,0.16,0.3,garlic,humans,baby
844,witch,no,461.0,m,165.0,0.18,0.1,hazelnut,brain,adult
5891,vampire,yes,695.0,f,153.0,0.24,0.9,garlic,rats,middle age
4898,vampire,no,437.0,m,174.0,0.19,0.8,garlic,brain,adult
4274,zombie,yes,134.0,m,154.0,0.06,0.2,cat hair,brain,teen
224,vampire,no,681.0,f,150.0,0.4,0.6,silver,humans,middle age
5260,vampire,no,327.0,f,152.0,0.37,0.7,sunlight,brain,young adult
1676,witch,no,310.0,f,150.0,0.16,0.6,hazelnut,brain,young adult
5852,zombie,yes,139.0,f,181.0,0.19,0.4,garlic,brain,teen
6279,witch,no,379.0,f,193.0,0.15,0.8,hazelnut,lasagna,adult
8192,ghost,yes,299.0,f,178.0,0.57,1.0,garlic,brain,young adult
3028,skeleton,no,1001.0,m,155.0,0.22,0.8,garlic,pesto pasta,middle age
674,werewolf,yes,96.0,f,160.0,0.93,0.8,hazelnut,lasagna,teen
135,vampire,yes,576.0,f,168.0,0.43,0.6,garlic,brain,adult
1664,witch,yes,619.0,f,155.0,0.24,0.1,pumpkin,brain,middle age
1095,ghost,no,2813.0,f,178.0,0.01,1.0,sunlight,brain,old
9072,ghost,no,1706.0,m,165.0,0.49,1.0,sunlight,lasagna,old
2719,ghost,no,1005.0,f,198.0,0.74,0.2,sunlight,brain,middle age
6843,werewolf,yes,86.0,m,192.0,0.89,0.3,hazelnut,humans,teen
9621,ghost,yes,1.0,m,182.0,0.69,1.0,sunlight,pesto pasta,baby
791,vampire,no,209.0,f,183.0,0.22,0.3,garlic,rats,young adult
1757,ghost,no,1158.0,m,166.0,0.48,0.9,garlic,rats,middle age
8471,zombie,yes,208.0,m,177.0,0.11,0.2,sunlight,rats,young adult
5621,skeleton,yes,775.0,m,168.0,0.27,0.4,garlic,rats,middle age
9806,ghost,yes,1073.0,f,170.0,0.26,0.8,pumpkin,brain,middle age
1908,witch,yes,164.0,f,182.0,0.14,0.3,hazelnut,rats,young adult
9362,werewolf,yes,61.0,m,193.0,0.97,0.8,silver,humans,baby
5862,witch,yes,407.0,m,180.0,0.32,0.8,hazelnut,humans,adult
6800,ghost,no,2175.0,m,167.0,0.75,0.3,sunlight,pesto pasta,old
6565,skeleton,no,474.0,f,174.0,0.33,0.8,silver,pesto pasta,adult
842,zombie,yes,119.0,m,180.0,0.15,0.2,cat hair,pesto pasta,teen
3628,skeleton,yes,1013.0,f,196.0,0.27,0.7,silver,humans,middle age
9441,vampire,yes,823.0,m,169.0,0.42,0.7,garlic,humans,middle age
7473,vampire,yes,532.0,f,187.0,0.39,0.7,silver,lasagna,adult
4668,werewolf,yes,143.0,m,191.0,0.54,0.7,silver,humans,teen
4681,witch,yes,495.0,f,157.0,0.29,0.2,hazelnut,lasagna,adult
6137,werewolf,no,65.0,f,185.0,0.54,0.6,hazelnut,humans,baby
5777,vampire,no,416.0,f,188.0,0.42,0.7,garlic,rats,adult
3993,vampire,yes,176.0,f,197.0,0.59,0.1,silver,brain,young adult
4602,werewolf,yes,110.0,m,172.0,0.67,0.9,silver,lasagna,teen
6210,werewolf,no,59.0,m,176.0,1.0,0.1,silver,brain,baby
8621,zombie,yes,93.0,f,165.0,0.13,0.5,sunlight,brain,teen
2888,witch,no,235.0,f,189.0,0.15,0.4,hazelnut,pesto pasta,young adult
5911,vampire,no,637.0,m,167.0,0.32,0.1,silver,brain,middle age
1347,werewolf,yes,96.0,f,168.0,0.48,0.7,hazelnut,humans,teen
1225,zombie,yes,25.0,m,194.0,0.25,0.3,garlic,lasagna,baby
4257,witch,yes,391.0,m,167.0,0.1,0.6,hazelnut,humans,adult
7845,skeleton,no,1415.0,f,193.0,0.02,0.6,silver,brain,old
7040,ghost,no,1615.0,m,159.0,0.58,0.1,pumpkin,humans,old
6253,skeleton,yes,1631.0,f,161.0,0.04,0.5,pumpkin,humans,old
1285,witch,yes,181.0,m,159.0,0.3,0.7,hazelnut,pesto pasta,young adult
63,witch,yes,183.0,m,159.0,0.23,0.9,hazelnut,lasagna,young adult
9746,witch,yes,418.0,m,179.0,0.16,0.7,hazelnut,pesto pasta,adult
8394,werewolf,yes,133.0,f,162.0,0.5,0.7,silver,brain,teen
9783,skeleton,yes,1712.0,f,165.0,0.47,0.1,pumpkin,rats,old
8000,vampire,no,616.0,f,157.0,0.42,0.6,garlic,rats,middle age
8581,vampire,no,895.0,m,174.0,0.35,0.7,garlic,rats,middle age
4057,ghost,no,758.0,m,194.0,0.39,0.7,sunlight,rats,middle age
4062,werewolf,no,121.0,f,196.0,0.57,0.7,silver,rats,teen
1066,ghost,yes,1418.0,m,196.0,0.7,0.3,pumpkin,lasagna,old
2430,ghost,yes,3193.0,m,155.0,0.71,0.5,sunlight,lasagna,old
2362,werewolf,no,120.0,f,195.0,0.62,0.4,silver,lasagna,teen
7750,skeleton,yes,1627.0,f,155.0,0.22,0.7,silver,brain,old
7974,vampire,no,567.0,m,160.0,0.63,0.9,garlic,brain,adult
4700,vampire,yes,824.0,f,186.0,0.32,0.8,sunlight,lasagna,middle age
4542,witch,yes,592.0,f,157.0,0.24,0.8,hazelnut,lasagna,adult
8696,zombie,yes,122.0,m,157.0,0.21,0.7,garlic,brain,teen
8923,vampire,yes,357.0,m,193.0,0.44,0.7,garlic,pesto pasta,young adult
383,zombie,no,1.0,m,197.0,0.14,0.3,sunlight,rats,baby
1358,vampire,yes,299.0,f,182.0,0.36,0.7,garlic,pesto pasta,young adult
2161,witch,yes,227.0,m,164.0,0.15,0.1,hazelnut,rats,young adult
5383,vampire,no,381.0,m,190.0,0.37,0.7,garlic,rats,adult
3839,witch,yes,496.0,f,153.0,0.24,0.5,hazelnut,humans,adult
2546,witch,yes,558.0,m,181.0,0.24,0.2,hazelnut,lasagna,adult
8896,ghost,yes,3383.0,m,177.0,0.15,0.6,pumpkin,humans,old
9267,vampire,no,408.0,f,155.0,0.53,0.6,silver,humans,adult
1221,ghost,yes,1279.0,m,169.0,0.6,0.3,sunlight,rats,old
812,vampire,no,410.0,m,189.0,0.35,0.6,sunlight,pesto pasta,adult
8215,zombie,no,50.0,m,157.0,0.16,0.4,sunlight,brain,baby
9103,zombie,yes,80.0,f,157.0,0.09,0.1,pumpkin,humans,teen
3560,ghost,no,1936.0,f,197.0,0.73,0.8,garlic,lasagna,old
6026,zombie,no,9.0,m,152.0,0.16,0.3,garlic,pesto pasta,baby
950,zombie,no,90.0,m,193.0,0.18,0.3,silver,humans,teen
530,vampire,yes,617.0,m,198.0,0.23,0.9,garlic,lasagna,middle age
4472,vampire,no,894.0,m,176.0,0.43,0.4,sunlight,brain,middle age
5223,ghost,no,887.0,f,171.0,0.01,0.3,sunlight,brain,middle age
7061,zombie,yes,134.0,m,156.0,0.14,0.5,pumpkin,humans,teen
3153,vampire,no,590.0,m,190.0,0.48,0.7,sunlight,rats,adult
2908,zombie,yes,71.0,m,182.0,0.16,0.6,cat hair,pesto pasta,baby
8184,zombie,no,141.0,f,156.0,0.17,0.5,sunlight,pesto pasta,teen
619,skeleton,no,1334.0,m,191.0,0.1,0.1,garlic,pesto pasta,old
8075,vampire,no,537.0,f,181.0,0.37,0.4,garlic,rats,adult
5604,skeleton,no,834.0,f,187.0,0.41,0.6,silver,rats,middle age
919,werewolf,yes,134.0,m,183.0,0.57,0.7,silver,brain,teen
7214,vampire,yes,226.0,f,161.0,0.3,0.6,silver,lasagna,young adult
6720,skeleton,yes,577.0,f,187.0,0.33,0.5,hazelnut,humans,adult
1865,witch,no,598.0,f,179.0,0.11,0.5,hazelnut,lasagna,middle age
5709,ghost,no,2133.0,f,170.0,0.46,0.4,hazelnut,humans,old
9920,witch,no,486.0,f,181.0,0.21,0.4,hazelnut,humans,adult
579,witch,no,362.0,m,169.0,0.19,0.1,pumpkin,humans,young adult
8963,vampire,yes,347.0,f,191.0,0.44,0.8,sunlight,humans,young adult
3122,zombie,no,5.0,f,176.0,0.12,0.4,sunlight,lasagna,baby
10053,werewolf,no,107.0,m,156.0,0.71,0.6,sunlight,pesto pasta,teen
8577,witch,no,204.0,f,162.0,0.21,0.1,garlic,brain,young adult
2479,zombie,yes,183.0,m,192.0,0.12,0.3,silver,lasagna,young adult
6791,witch,no,511.0,m,155.0,0.14,0.4,hazelnut,rats,adult
8974,vampire,yes,404.0,f,158.0,0.34,0.5,garlic,pesto pasta,adult
3057,zombie,yes,84.0,m,165.0,0.14,0.5,garlic,rats,teen
9999,werewolf,yes,38.0,f,186.0,0.44,0.7,hazelnut,pesto pasta,baby
615,ghost,no,972.0,m,195.0,0.01,1.0,silver,pesto pasta,middle age
5501,ghost,no,4233.0,m,183.0,0.76,0.9,sunlight,lasagna,old
1116,werewolf,no,82.0,m,180.0,0.76,0.6,silver,pesto pasta,teen
5051,zombie,yes,13.0,m,188.0,0.08,0.2,cat hair,brain,baby
1321,werewolf,yes,114.0,f,185.0,0.72,0.6,cat hair,rats,teen
2149,ghost,no,1316.0,m,181.0,0.66,0.6,pumpkin,brain,old
5110,witch,yes,411.0,f,151.0,0.11,0.3,hazelnut,pesto pasta,adult
1749,witch,yes,478.0,m,181.0,0.18,0.1,garlic,brain,adult
1797,zombie,no,36.0,m,195.0,0.08,0.5,sunlight,rats,baby
1954,werewolf,no,120.0,m,172.0,0.58,0.1,cat hair,humans,teen
6195,skeleton,yes,303.0,f,173.0,0.33,0.5,silver,rats,young adult
9764,werewolf,no,113.0,f,194.0,1.0,0.7,silver,humans,teen
1901,vampire,no,289.0,m,179.0,0.4,0.7,garlic,lasagna,young adult
8281,skeleton,no,834.0,f,194.0,0.29,1.0,pumpkin,brain,middle age
1701,ghost,yes,1.0,m,176.0,0.45,0.2,pumpkin,rats,baby
2154,witch,yes,270.0,m,191.0,0.2,0.8,hazelnut,pesto pasta,young adult
8899,skeleton,no,325.0,f,156.0,0.3,0.8,silver,pesto pasta,young adult
3298,zombie,no,1.0,m,179.0,0.13,0.4,sunlight,rats,baby
9773,witch,no,364.0,m,161.0,0.18,0.3,hazelnut,pesto pasta,young adult
208,skeleton,yes,172.0,f,191.0,0.35,0.3,silver,brain,young adult
7472,skeleton,no,993.0,m,188.0,0.37,0.9,garlic,pesto pasta,middle age
4529,vampire,yes,489.0,f,153.0,0.28,0.6,silver,humans,adult
917,vampire,yes,600.0,f,188.0,0.59,0.9,silver,brain,middle age
3774,zombie,yes,34.0,m,192.0,0.08,0.1,cat hair,pesto pasta,baby
2416,werewolf,no,82.0,m,162.0,0.5,0.7,silver,lasagna,teen
9553,werewolf,yes,83.0,f,193.0,0.41,0.1,hazelnut,pesto pasta,teen
260,vampire,no,304.0,m,168.0,0.46,0.4,silver,pesto pasta,young adult
6364,zombie,no,181.0,m,164.0,0.08,0.2,cat hair,pesto pasta,young adult
9227,ghost,yes,1881.0,f,176.0,0.65,1.0,hazelnut,rats,old
2981,zombie,no,1.0,m,189.0,0.11,0.3,silver,rats,baby
9878,skeleton,yes,860.0,f,151.0,0.4,0.1,silver,pesto pasta,middle age
2427,zombie,no,145.0,m,150.0,0.2,0.2,garlic,brain,teen
8893,ghost,yes,3015.0,f,159.0,0.89,1.0,pumpkin,rats,old
1267,werewolf,no,83.0,m,150.0,0.77,0.7,hazelnut,humans,teen
4343,vampire,no,52.0,f,180.0,0.4,0.6,garlic,rats,baby
4626,witch,no,259.0,m,174.0,0.2,0.5,hazelnut,lasagna,young adult
2165,vampire,yes,730.0,f,176.0,0.34,0.7,silver,rats,middle age
469,zombie,yes,143.0,m,189.0,0.17,0.5,pumpkin,lasagna,teen
7086,zombie,no,29.0,m,176.0,0.19,0.1,cat hair,humans,baby
1910,vampire,yes,503.0,m,199.0,0.24,0.9,sunlight,rats,adult
1401,werewolf,yes,150.0,m,177.0,0.62,0.6,silver,pesto pasta,young adult
8566,ghost,no,1.0,f,171.0,0.42,0.3,pumpkin,rats,baby
1299,witch,yes,563.0,f,175.0,0.16,0.1,hazelnut,pesto pasta,adult
2699,vampire,yes,600.0,m,153.0,0.36,0.3,garlic,lasagna,middle age
7770,zombie,no,125.0,f,157.0,0.18,0.6,sunlight,humans,teen
8847,skeleton,no,345.0,f,169.0,0.21,1.0,garlic,rats,young adult
4043,skeleton,yes,1033.0,f,166.0,0.62,0.8,silver,humans,middle age
1965,witch,no,403.0,m,175.0,0.25,0.8,hazelnut,brain,adult
7380,werewolf,yes,13.0,m,157.0,0.54,0.6,silver,pesto pasta,baby
4963,witch,no,388.0,m,160.0,0.14,0.1,hazelnut,humans,adult
4355,witch,no,662.0,m,171.0,0.19,0.2,hazelnut,brain,middle age
6993,witch,no,412.0,f,156.0,0.23,0.3,hazelnut,pesto pasta,adult
2745,ghost,yes,1450.0,m,182.0,0.58,0.2,pumpkin,pesto pasta,old
5412,witch,yes,256.0,f,188.0,0.16,0.3,hazelnut,rats,young adult
8552,skeleton,no,902.0,m,159.0,0.04,0.6,silver,lasagna,middle age
2417,ghost,no,2293.0,f,167.0,0.55,1.0,cat hair,brain,old
315,vampire,yes,438.0,f,192.0,0.29,0.7,garlic,pesto pasta,adult
2672,skeleton,yes,354.0,m,182.0,0.18,0.7,silver,lasagna,young adult
6004,skeleton,yes,246.0,m,176.0,0.24,0.5,garlic,humans,young adult
9759,skeleton,no,1255.0,f,175.0,0.28,0.6,silver,pesto pasta,old
4350,ghost,no,1.0,f,180.0,0.68,0.4,pumpkin,lasagna,baby
9336,werewolf,yes,182.0,f,151.0,0.73,0.6,hazelnut,lasagna,young adult
8954,werewolf,yes,110.0,f,188.0,0.71,0.8,silver,brain,teen
4638,witch,yes,505.0,f,158.0,0.19,0.2,hazelnut,brain,adult
4772,ghost,no,2387.0,m,198.0,0.8,0.3,pumpkin,rats,old
1020,witch,yes,663.0,m,157.0,0.22,0.1,pumpkin,brain,middle age
6035,ghost,yes,976.0,f,161.0,0.54,0.1,sunlight,pesto pasta,middle age
8626,ghost,yes,2017.0,f,175.0,0.36,0.9,pumpkin,lasagna,old
8405,ghost,no,615.0,m,157.0,0.34,0.3,hazelnut,brain,middle age
8553,skeleton,no,378.0,m,178.0,0.3,0.6,silver,pesto pasta,young adult
1146,vampire,yes,822.0,f,197.0,0.41,0.6,garlic,pesto pasta,middle age
5917,werewolf,yes,105.0,f,196.0,0.53,0.6,hazelnut,brain,teen
5513,ghost,yes,3163.0,f,186.0,0.31,0.9,sunlight,brain,old
3714,werewolf,no,79.0,f,162.0,0.2,0.6,hazelnut,brain,teen
1257,zombie,no,56.0,f,180.0,0.11,0.4,cat hair,lasagna,baby
3569,witch,yes,311.0,f,165.0,0.25,0.4,hazelnut,pesto pasta,young adult
1565,skeleton,yes,2439.0,m,181.0,0.32,0.5,garlic,pesto pasta,old
3084,vampire,yes,315.0,m,160.0,0.49,0.6,sunlight,pesto pasta,young adult
3805,vampire,no,404.0,m,174.0,0.43,0.8,sunlight,pesto pasta,adult
4330,skeleton,yes,407.0,m,182.0,0.28,0.9,garlic,brain,adult
1438,ghost,yes,3045.0,m,185.0,0.77,0.3,garlic,lasagna,old
2485,zombie,yes,136.0,f,168.0,0.19,0.1,cat hair,pesto pasta,teen
6982,skeleton,yes,298.0,m,166.0,0.38,0.3,silver,humans,young adult
7700,zombie,yes,171.0,m,173.0,0.16,0.4,garlic,pesto pasta,young adult
2541,zombie,no,1.0,m,187.0,0.17,0.3,garlic,brain,baby
9578,skeleton,no,1342.0,f,179.0,0.16,0.9,silver,rats,old
8153,werewolf,no,176.0,m,176.0,0.72,0.7,silver,brain,young adult
4808,zombie,yes,119.0,m,173.0,0.09,0.9,cat hair,pesto pasta,teen
8334,skeleton,no,1397.0,f,194.0,0.1,0.8,cat hair,pesto pasta,old
1229,witch,yes,599.0,m,162.0,0.15,0.3,hazelnut,brain,middle age
7030,werewolf,yes,109.0,m,163.0,0.8,0.1,cat hair,brain,teen
5847,witch,yes,482.0,m,164.0,0.19,0.8,silver,humans,adult
6559,werewolf,no,46.0,f,155.0,0.45,0.7,silver,rats,baby
1668,ghost,yes,1379.0,f,181.0,0.61,0.8,garlic,humans,old
718,werewolf,no,72.0,m,195.0,0.43,0.7,silver,brain,baby
4685,zombie,yes,159.0,f,153.0,0.16,0.6,silver,pesto pasta,young adult
4835,witch,no,539.0,f,177.0,0.2,0.5,pumpkin,brain,adult
4999,zombie,no,89.0,f,186.0,0.28,0.2,sunlight,pesto pasta,teen
9265,skeleton,yes,1717.0,m,192.0,0.39,0.3,silver,rats,old
8884,werewolf,yes,89.0,f,196.0,1.0,0.6,cat hair,humans,teen
3665,witch,yes,497.0,m,160.0,0.14,0.4,hazelnut,lasagna,adult
8638,skeleton,no,1345.0,m,165.0,0.33,0.1,silver,lasagna,old
5525,ghost,yes,754.0,f,151.0,0.31,0.9,hazelnut,brain,middle age
4120,skeleton,no,1805.0,f,162.0,0.09,0.2,silver,brain,old
561,skeleton,yes,1568.0,m,170.0,0.35,0.2,hazelnut,humans,old
6739,witch,no,520.0,f,157.0,0.18,0.6,hazelnut,lasagna,adult
2998,ghost,yes,1112.0,m,182.0,0.41,0.1,cat hair,lasagna,middle age
7065,zombie,no,37.0,f,183.0,0.18,0.1,sunlight,pesto pasta,baby
8959,ghost,yes,3111.0,m,191.0,0.42,1.0,sunlight,pesto pasta,old
2213,werewolf,yes,1.0,f,183.0,0.83,0.7,hazelnut,humans,baby
3121,skeleton,no,1725.0,m,179.0,0.01,0.5,silver,rats,old
8436,ghost,no,106.0,f,153.0,0.02,0.8,hazelnut,rats,teen
320,skeleton,no,1013.0,f,193.0,0.5,0.2,silver,brain,middle age
7145,vampire,no,834.0,m,154.0,0.42,0.4,sunlight,pesto pasta,middle age
9655,vampire,yes,314.0,f,171.0,0.51,0.7,garlic,pesto pasta,young adult
4679,witch,yes,290.0,m,162.0,0.24,0.5,garlic,pesto pasta,young adult
5791,skeleton,yes,449.0,m,163.0,0.25,0.6,silver,lasagna,adult
8709,vampire,no,687.0,f,168.0,0.58,0.6,sunlight,humans,middle age
7468,zombie,yes,106.0,m,194.0,0.11,0.3,garlic,lasagna,teen
2567,skeleton,no,1466.0,m,186.0,0.08,0.2,silver,brain,old
7952,ghost,no,2991.0,m,158.0,0.68,0.6,sunlight,rats,old
8851,witch,no,275.0,f,197.0,0.22,0.1,hazelnut,lasagna,young adult
4354,ghost,no,778.0,f,152.0,0.68,0.7,cat hair,brain,middle age
7931,werewolf,yes,147.0,m,170.0,0.78,0.6,cat hair,lasagna,young adult
9364,ghost,yes,710.0,m,193.0,0.65,0.2,garlic,lasagna,middle age
5931,vampire,no,473.0,m,188.0,0.6,0.6,sunlight,lasagna,adult
6677,skeleton,no,1486.0,f,182.0,0.06,0.9,silver,rats,old
5302,witch,yes,687.0,f,171.0,0.19,0.1,hazelnut,brain,middle age
5209,werewolf,yes,101.0,f,188.0,0.78,0.6,cat hair,rats,teen
7646,werewolf,yes,89.0,m,159.0,0.65,0.8,silver,brain,teen
4894,zombie,yes,95.0,f,164.0,0.17,0.4,pumpkin,brain,teen
3392,vampire,no,1.0,f,176.0,0.29,0.9,sunlight,rats,baby
1547,skeleton,no,945.0,f,187.0,0.13,0.2,garlic,rats,middle age
6134,skeleton,yes,963.0,f,190.0,0.25,0.2,silver,pesto pasta,middle age
9196,zombie,yes,63.0,m,162.0,0.13,0.2,cat hair,humans,baby
9450,skeleton,no,1.0,m,197.0,0.04,0.7,silver,humans,baby
7819,zombie,no,61.0,f,171.0,0.15,0.3,garlic,pesto pasta,baby
3457,skeleton,no,1033.0,f,185.0,0.1,0.4,silver,brain,middle age
5748,werewolf,no,54.0,f,193.0,0.7,0.6,silver,brain,baby
